label,flow3d,lbm,offset_m,t_liq_K,n_f3d_pts,n_f3d_in_lbm,n_lbm_iso_verts,haus_um,chamfer_um,dAB_max_um,dBA_max_um,surface_T_rms_K,surface_T_p95_K,surface_T_maxerr_K,surface_T_n_valid,surface_T_n_total,pool_L_F3D_um,pool_W_F3D_um,pool_D_F3D_um,Tmax_F3D_K,n_pts_above_Tliq_F3D,pool_L_LBM_um,pool_W_LBM_um,pool_D_LBM_um,Tmax_LBM_K,n_cells_above_Tliq_LBM,crater_L_LBM_um,crater_W_LBM_um,crater_D_LBM_um,n_crater_cells_LBM,vmax_LBM_m_s
m16d_40.00us,150WV800mms-50um_2.vtk,line_scan_000500.vtk,"0.0005;7.5e-05;0.0001575",1697.15,797676,66936,61469,155.002,5.21238,155.002,17.4536,461.692,964.216,3493.22,66936,66936,105.172,85.3101,68.7352,3800.4,4397,88,82,22,3761.56,5311,52,66,12,1664,0.139354
m16d_80.00us,150WV800mms-50um_4.vtk,line_scan_001000.vtk,"0.0005;7.5e-05;0.0001575",1697.15,798348,67608,68156,155.002,5.28848,155.002,19.6149,490.697,1217.78,3441.35,67608,67608,135.184,87.2632,89.1957,3751.11,5157,118,108,48,3843.12,16875,102,92,30,9762,0.16348
m16d_120.00us,150WV800mms-50um_6.vtk,line_scan_001500.vtk,"0.0005;7.5e-05;0.0001575",1697.15,799032,68292,68273,155.002,5.25133,155.002,28.0848,492.924,1405.24,3019.72,68292,68292,164.171,95.6641,99.4981,4014.51,6261,138,116,68,3863.59,29777,136,96,46,18599,0.186386
m16d_160.00us,150WV800mms-50um_8.vtk,line_scan_002000.vtk,"0.0005;7.5e-05;0.0001575",1697.15,799320,68580,72070,155.002,5.75643,155.002,35.129,444.597,1149.2,3233.49,68580,68580,179.992,93.1991,104.882,3801.94,6947,162,118,84,3884.05,44481,170,104,58,25939,0.187932
m16d_200.00us,150WV800mms-50um_10.vtk,line_scan_002500.vtk,"0.0005;7.5e-05;0.0001575",1697.15,799692,68952,74691,155.003,5.38774,155.003,29.199,479.987,1293.36,2033.58,68952,68952,215,100.271,83.4082,4261.95,7216,188,120,94,3840.78,59875,202,104,66,32627,0.185517
m16d_240.00us,150WV800mms-50um_12.vtk,line_scan_003000.vtk,"0.0005;7.5e-05;0.0001575",1697.15,798600,67860,76966,155.004,6.14765,155.004,42.5976,401.478,1132.09,1869.95,67860,67860,220.111,90.5604,56.6201,4624.29,5966,216,122,100,3838.22,75510,232,104,68,38395,0.183935
m16d_280.00us,150WV800mms-50um_14.vtk,line_scan_003500.vtk,"0.0005;7.5e-05;0.0001575",1697.15,799296,68556,78599,155.006,6.01492,155.006,44.3106,425.579,1162.95,1990.95,68556,68556,250.369,85.2536,77.5595,4367.71,6748,242,126,102,3789.35,90323,266,110,68,43660,0.180263
m16d_320.00us,150WV800mms-50um_16.vtk,line_scan_004000.vtk,"0.0005;7.5e-05;0.0001575",1697.15,799884,69144,79332,155.007,6.24507,155.007,38.6503,458.998,1257.56,2061.78,69144,69144,275.028,85.1075,76.8731,3623.94,7447,268,132,104,3750.73,104297,296,106,68,48572,0.174043
m16d_360.00us,150WV800mms-50um_18.vtk,line_scan_004500.vtk,"0.0005;7.5e-05;0.0001575",1697.15,800268,69528,78752,155.008,6.43999,155.008,43.5876,499.255,1360.22,2476.07,69528,69528,300.294,75.5025,110.093,3544.95,8261,292,136,100,3824.56,116463,328,106,70,53763,0.184775
m16d_400.00us,150WV800mms-50um_20.vtk,line_scan_005000.vtk,"0.0005;7.5e-05;0.0001575",1697.15,800520,69780,79131,155.009,6.56908,155.009,40.5059,508.485,1346.37,2737.05,69780,69780,319.989,80.3653,92.28,3590.93,8615,316,136,100,3824.56,126987,362,110,70,59167,0.183348
m16d_440.00us,150WV800mms-50um_22.vtk,line_scan_005500.vtk,"0.0005;7.5e-05;0.0001575",1697.15,801516,70776,79843,155.009,6.76239,155.009,41.8791,545.789,1394.42,2629.04,70776,70776,332.505,75.1737,99.7067,3943.45,9157,338,136,94,3795.35,136106,394,114,68,64641,0.178223
m16d_480.00us,150WV800mms-50um_24.vtk,line_scan_006000.vtk,"0.0005;7.5e-05;0.0001575",1697.15,800868,70128,80164,155.01,6.87203,155.01,38.7012,564.131,1465.78,2568.46,70128,70128,360.811,76.1319,77.193,4107.1,8316,360,134,92,3783.78,143773,426,118,72,70163,0.19667
m16d_520.00us,150WV800mms-50um_26.vtk,line_scan_006500.vtk,"0.0005;7.5e-05;0.0001575",1697.15,801504,70764,80735,155.01,7.07973,155.01,43.5984,581.845,1438.2,2325.89,70764,70764,369.371,75.5042,74.4917,4174.59,8310,382,132,86,3782.69,149224,458,118,70,75805,0.177873
m16d_560.00us,150WV800mms-50um_28.vtk,line_scan_007000.vtk,"0.0005;7.5e-05;0.0001575",1697.15,801780,71040,81299,155.01,7.26436,155.01,42.2312,616.637,1509.55,2644.84,71040,71040,400.472,75.2939,78.7745,4221.98,8456,398,132,86,3826.48,152562,490,120,70,81417,0.184217
m16d_600.00us,150WV800mms-50um_30.vtk,line_scan_007500.vtk,"0.0005;7.5e-05;0.0001575",1697.15,801852,71112,81529,155.01,7.43635,155.01,41.9101,638.637,1513.32,2909.85,71112,71112,409.362,67.5758,89.9819,3584.96,8331,414,132,86,3761.13,155008,520,118,70,87233,0.170605
m16d_640.00us,150WV800mms-50um_32.vtk,line_scan_008000.vtk,"0.0005;7.5e-05;0.0001575",1697.15,802572,71832,81866,155.01,7.58886,155.01,42.0271,663.39,1526.92,2992.59,71832,71832,424.514,65.5609,94.9789,3679.04,8850,434,132,86,3783.22,156620,552,122,70,93001,0.182313
m16d_680.00us,150WV800mms-50um_35.vtk,line_scan_008500.vtk,"0.0005;7.5e-05;0.0001575",1697.15,802944,72204,82771,155.01,7.99881,155.01,45.3682,714.414,1573.9,3009.42,72204,72204,415.271,72.5114,85.9595,3543.6,8507,440,132,86,3798.56,157370,586,120,70,98915,0.177835
m16d_720.00us,150WV800mms-50um_37.vtk,line_scan_009000.vtk,"0.0005;7.5e-05;0.0001575",1697.15,802968,72228,83194,155.01,8.19556,155.01,47.7722,736.084,1595.9,3312.52,72228,72228,390.284,75.5054,77.087,3893.18,8230,438,132,86,3863.23,157485,616,122,72,104754,0.182097
m16d_760.00us,150WV800mms-50um_39.vtk,line_scan_009500.vtk,"0.0005;7.5e-05;0.0001575",1697.15,802692,71952,83191,155.01,8.38689,155.01,52.8367,766.102,1615.98,3220.57,71952,71952,399.317,72.4508,90.4266,3725.03,7568,466,132,86,3815.07,157518,648,122,70,110628,0.195016
m16d_800.00us,150WV800mms-50um_41.vtk,line_scan_010000.vtk,"0.0005;7.5e-05;0.0001575",1697.15,802812,72072,83873,155.01,8.55818,155.01,48.1573,794.724,1645.13,3085.42,72072,72072,357.432,65.9977,88.106,3907.03,7903,430,132,86,3793.55,157418,682,122,70,116427,0.185424
m16d_840.00us,150WV800mms-50um_43.vtk,line_scan_010500.vtk,"0.0005;7.5e-05;0.0001575",1697.15,802344,71604,83786,155.01,8.77534,155.01,45.3935,799.532,1645.25,3201.66,71604,71604,365.216,66.3641,60.133,4031.66,7478,422,132,86,3793.55,156388,714,122,70,122196,0.175671
m16d_880.00us,150WV800mms-50um_45.vtk,line_scan_011000.vtk,"0.0005;7.5e-05;0.0001575",1697.15,802764,72024,84322,155.01,8.94045,155.01,53.1921,833.223,1681.37,3578.59,72024,72024,358.813,70.5247,73.1384,4155.07,7499,422,132,86,3821.01,156710,746,120,70,128050,0.18654
m16d_920.00us,150WV800mms-50um_47.vtk,line_scan_011500.vtk,"0.0005;7.5e-05;0.0001575",1697.15,803364,72624,83852,155.01,9.12639,155.01,51.3178,865.108,1749.08,2949.44,72624,72624,382.5,75,95.7489,3626.17,8197,438,132,86,3821.01,155765,778,122,70,134082,0.197446
m16d_960.00us,150WV800mms-50um_49.vtk,line_scan_012000.vtk,"0.0005;7.5e-05;0.0001575",1697.15,803064,72324,83810,155.01,9.28797,155.01,47.218,878.886,1769.89,3282.82,72324,72324,374.18,70.4545,76.6712,3789.62,7994,416,132,86,3806.22,155372,810,122,70,140212,0.188031
m16d_1000.00us,150WV800mms-50um_51.vtk,line_scan_012500.vtk,"0.0005;7.5e-05;0.0001575",1697.15,804000,73260,83671,155.01,9.44417,155.01,46.7437,916.693,1831.41,3099.45,73260,73260,385.192,70.4495,95.4609,3483.29,8997,422,132,86,3798.32,155130,842,122,70,145983,0.181255
m16d_1040.00us,150WV800mms-50um_53.vtk,line_scan_013000.vtk,"0.0005;7.5e-05;0.0001575",1697.15,803172,72432,83687,155.01,9.66009,155.01,46.9113,942.586,1865.9,3215.6,72432,72432,367.869,65.5682,84.2209,3699.76,7729,414,132,86,3798.32,154484,874,122,70,151910,0.18353
m16d_1080.00us,150WV800mms-50um_55.vtk,line_scan_013500.vtk,"0.0005;7.5e-05;0.0001575",1697.15,803160,72420,83873,155.01,9.83963,155.01,47.4024,971.484,1903.29,3170.54,72420,72420,370.647,65.6314,92.0001,3822.44,7514,422,132,86,3785.4,153950,906,122,72,157527,0.17868
m16d_1120.00us,150WV800mms-50um_57.vtk,line_scan_014000.vtk,"0.0005;7.5e-05;0.0001575",1697.15,803400,72660,84004,155.01,10.0269,155.01,52.1253,990.396,1928.57,3424.32,72660,72660,361.147,70.1515,81.2921,3914.99,7812,414,134,84,3770.98,153454,938,122,70,163345,0.177724
m16d_1160.00us,150WV800mms-50um_59.vtk,line_scan_014500.vtk,"0.0005;7.5e-05;0.0001575",1697.15,802992,72252,84145,155.01,10.1441,155.01,51.6665,1013.57,1958.63,3426.18,72252,72252,373.723,71.1353,70.9656,4044.77,7214,416,132,86,3777.01,153286,968,122,70,169088,0.180045
