step,t_us,T_max,v_max,depth_um,liquid_cells,sum_fill,laser_y_um
0,0.000,300.0,0.00,0.0,0,512000.0,100.0
500,5.000,3753.8,140.02,2.5,616,511997.6,105.0
1000,10.000,3788.5,117.16,5.0,1300,511989.8,110.0
1500,15.000,3789.1,150.09,7.5,1904,511977.4,115.0
2000,20.000,3794.5,181.25,7.5,2527,511957.9,120.0
2500,25.000,3795.4,234.96,10.0,3043,511935.3,125.0
3000,30.000,3795.6,330.31,10.0,3608,511909.2,130.0
3500,35.000,3796.6,346.38,12.5,3994,511879.8,135.0
4000,40.000,3796.3,340.26,12.5,4430,511854.5,140.0
4500,45.000,3797.4,342.79,15.0,4754,511826.9,145.0
5000,50.000,3797.9,373.20,15.0,5053,511796.3,150.0
5500,55.000,3798.8,366.38,17.5,5335,511766.5,155.0
6000,60.000,3797.8,362.36,17.5,5596,511742.7,160.0
6500,65.000,3796.5,354.43,20.0,5808,511718.8,165.0
7000,70.000,3797.5,404.19,20.0,5959,511695.7,170.0
7500,75.000,3798.2,393.89,22.5,6049,511673.3,175.0
8000,80.000,3797.0,470.11,22.5,6182,511652.0,180.0
8500,85.000,3797.4,528.16,22.5,6257,511628.2,185.0
9000,90.000,3795.6,512.01,22.5,6367,511606.1,190.0
9500,95.000,3793.7,435.06,22.5,6515,511587.4,195.0
10000,100.000,3795.7,378.71,22.5,6580,511569.9,200.0
10500,105.000,3795.5,518.12,25.0,6596,511549.8,205.0
11000,110.000,3796.6,410.62,25.0,6621,511532.7,210.0
11500,115.000,3797.2,371.25,25.0,6672,511513.1,215.0
12000,120.000,3797.5,424.05,25.0,6698,511493.2,220.0
12500,125.000,3797.3,479.57,25.0,6780,511470.7,225.0
13000,130.000,3797.3,472.55,25.0,6891,511448.6,230.0
13500,135.000,3796.0,480.20,25.0,6993,511429.5,235.0
14000,140.000,3796.6,404.58,25.0,7000,511407.8,240.0
14500,145.000,3797.2,387.87,22.5,7044,511387.5,245.0
15000,150.000,3797.7,454.99,22.5,7206,511365.0,250.0
15500,155.000,3796.7,418.34,22.5,7233,511346.2,255.0
16000,160.000,3796.3,409.01,22.5,7256,511323.5,260.0
16500,165.000,3795.9,402.94,22.5,7209,511304.2,265.0
17000,170.000,3796.2,482.80,22.5,7166,511283.7,270.0
17500,175.000,3795.1,469.98,22.5,7144,511265.4,275.0
18000,180.000,3795.1,457.58,22.5,7131,511250.2,280.0
18500,185.000,3796.0,477.80,22.5,7072,511230.0,285.0
19000,190.000,3796.4,437.19,22.5,7043,511210.5,290.0
19500,195.000,3796.3,473.79,22.5,7069,511188.5,295.0
20000,200.000,3796.9,492.12,22.5,7073,511165.2,300.0
