x,z,ux,uz,u_mag,T
0.000000,0.000000,0.00000000,0.00000000,0.00000000,595.5850
1.000000,0.000000,0.00000000,0.00000000,0.00000000,595.5849
2.000000,0.000000,0.00000000,0.00000000,0.00000000,595.5879
3.000000,0.000000,0.00000000,0.00000000,0.00000000,595.5925
4.000000,0.000000,0.00000000,0.00000000,0.00000000,595.5970
5.000000,0.000000,0.00000000,0.00000000,0.00000000,595.6014
6.000000,0.000000,0.00000000,0.00000000,0.00000000,595.6057
7.000000,0.000000,0.00000000,0.00000000,0.00000000,595.6098
8.000000,0.000000,0.00000000,0.00000000,0.00000000,595.6139
9.000000,0.000000,0.00000000,0.00000000,0.00000000,595.6178
10.000000,0.000000,0.00000000,0.00000000,0.00000000,595.6216
11.000000,0.000000,0.00000000,0.00000000,0.00000000,595.6253
12.000000,0.000000,0.00000000,0.00000000,0.00000000,595.6290
13.000000,0.000000,0.00000000,0.00000000,0.00000000,595.6328
14.000000,0.000000,0.00000000,0.00000000,0.00000000,595.6364
15.000000,0.000000,0.00000000,0.00000000,0.00000000,595.6398
16.000000,0.000000,0.00000000,0.00000000,0.00000000,595.6432
17.000000,0.000000,0.00000000,0.00000000,0.00000000,595.6465
18.000000,0.000000,0.00000000,0.00000000,0.00000000,595.6498
19.000000,0.000000,0.00000000,0.00000000,0.00000000,595.6528
20.000000,0.000000,0.00000000,0.00000000,0.00000000,595.6557
21.000000,0.000000,0.00000000,0.00000000,0.00000000,595.6586
22.000000,0.000000,0.00000000,0.00000000,0.00000000,595.6615
23.000000,0.000000,0.00000000,0.00000000,0.00000000,595.6642
24.000000,0.000000,0.00000000,0.00000000,0.00000000,595.6668
25.000000,0.000000,0.00000000,0.00000000,0.00000000,595.6694
26.000000,0.000000,0.00000000,0.00000000,0.00000000,595.6718
27.000000,0.000000,0.00000000,0.00000000,0.00000000,595.6742
28.000000,0.000000,0.00000000,0.00000000,0.00000000,595.6764
29.000000,0.000000,0.00000000,0.00000000,0.00000000,595.6785
30.000000,0.000000,0.00000000,0.00000000,0.00000000,595.6804
31.000000,0.000000,0.00000000,0.00000000,0.00000000,595.6824
32.000000,0.000000,0.00000000,0.00000000,0.00000000,595.6842
33.000000,0.000000,0.00000000,0.00000000,0.00000000,595.6859
34.000000,0.000000,0.00000000,0.00000000,0.00000000,595.6875
35.000000,0.000000,0.00000000,0.00000000,0.00000000,595.6891
36.000000,0.000000,0.00000000,0.00000000,0.00000000,595.6904
37.000000,0.000000,0.00000000,0.00000000,0.00000000,595.6917
38.000000,0.000000,0.00000000,0.00000000,0.00000000,595.6929
39.000000,0.000000,0.00000000,0.00000000,0.00000000,595.6940
40.000000,0.000000,0.00000000,0.00000000,0.00000000,595.6949
41.000000,0.000000,0.00000000,0.00000000,0.00000000,595.6958
42.000000,0.000000,0.00000000,0.00000000,0.00000000,595.6965
43.000000,0.000000,0.00000000,0.00000000,0.00000000,595.6973
44.000000,0.000000,0.00000000,0.00000000,0.00000000,595.6978
45.000000,0.000000,0.00000000,0.00000000,0.00000000,595.6984
46.000000,0.000000,0.00000000,0.00000000,0.00000000,595.6987
47.000000,0.000000,0.00000000,0.00000000,0.00000000,595.6990
48.000000,0.000000,0.00000000,0.00000000,0.00000000,595.6993
49.000000,0.000000,0.00000000,0.00000000,0.00000000,595.6993
50.000000,0.000000,0.00000000,0.00000000,0.00000000,595.6994
51.000000,0.000000,0.00000000,0.00000000,0.00000000,595.6992
52.000000,0.000000,0.00000000,0.00000000,0.00000000,595.6990
53.000000,0.000000,0.00000000,0.00000000,0.00000000,595.6987
54.000000,0.000000,0.00000000,0.00000000,0.00000000,595.6984
55.000000,0.000000,0.00000000,0.00000000,0.00000000,595.6979
56.000000,0.000000,0.00000000,0.00000000,0.00000000,595.6972
57.000000,0.000000,0.00000000,0.00000000,0.00000000,595.6965
