X_um,Z_um
77.3390,121.0000
77.6848,119.0000
78.3212,117.0000
79.0000,115.9008
79.6081,115.0000
81.0000,113.3717
81.2008,113.0000
81.5338,111.0000
83.0000,109.5245
83.3429,109.0000
84.4555,107.0000
85.0000,106.3870
86.0796,105.0000
87.0000,104.1631
87.9665,103.0000
89.0000,102.1557
91.0000,101.3098
92.4212,101.0000
93.0000,100.7906
95.0000,99.5118
97.0000,99.0533
99.0000,99.1537
101.0000,99.1536
103.0000,99.0533
105.0000,99.5118
107.0000,100.7906
107.5789,101.0000
109.0000,101.3098
111.0000,102.1558
112.0334,103.0000
113.0000,104.1634
113.9200,105.0000
115.0000,106.3873
115.5442,107.0000
116.6571,109.0000
117.0000,109.5245
118.4664,111.0000
118.7994,113.0000
119.0000,113.3715
120.3920,115.0000
121.0000,115.9007
121.6789,117.0000
122.3152,119.0000
122.6610,121.0000
123.0000,121.4811
123.8951,123.0000
124.3641,125.0000
124.6194,127.0000
124.4412,129.0000
124.9128,131.0000
125.0000,131.1485
126.5176,133.0000
126.7604,135.0000
127.0000,135.3670
128.0079,137.0000
128.8148,139.0000
129.0000,139.2490
130.3384,141.0000
131.0000,142.2375
132.0485,143.0000
132.4282,145.0000
133.0000,146.4613
133.6484,147.0000
134.2527,149.0000
65.7473,149.0000
66.3528,147.0000
67.0000,146.4622
67.5717,145.0000
67.9516,143.0000
69.0000,142.2376
69.6615,141.0000
71.0000,139.2490
71.1852,139.0000
71.9920,137.0000
73.0000,135.3670
73.2396,135.0000
73.4830,133.0000
75.0000,131.1484
75.0872,131.0000
75.5587,129.0000
75.3806,127.0000
75.6359,125.0000
76.1049,123.0000
77.0000,121.4811
