step,t_us,T_max,v_max_phys,depth_um,liquid_cells,sum_fill,laser_y_um
0,0.000,300.0,0.00,0.0,0,655473.6,100.0
500,5.000,3739.6,307.87,0.0,477,655558.3,105.0
1000,10.000,3751.9,524.14,0.0,1188,655548.6,110.0
1500,15.000,3750.2,501.47,0.0,1869,655509.8,115.0
2000,20.000,3761.2,587.47,0.0,2444,655462.4,120.0
2500,25.000,3770.2,458.33,0.0,2964,655396.2,125.0
3000,30.000,3769.8,551.19,0.0,3442,655330.8,130.0
3500,35.000,3768.2,582.80,0.0,3962,655273.8,135.0
4000,40.000,3760.2,430.91,0.0,4397,655221.6,140.0
4500,45.000,3755.1,523.55,0.0,4859,655160.5,145.0
5000,50.000,3771.6,638.92,0.0,5213,655102.5,150.0
5500,55.000,3774.5,798.09,0.0,5531,655045.2,155.0
6000,60.000,3777.1,839.15,0.0,5851,654985.9,160.0
6500,65.000,3768.5,498.34,2.5,6117,654912.1,165.0
7000,70.000,3774.5,504.16,2.5,6314,654816.1,170.0
7500,75.000,3760.8,541.50,2.5,6545,654732.0,175.0
8000,80.000,3765.8,597.83,2.5,6769,654651.8,180.0
8500,85.000,3769.3,567.45,5.0,6963,654566.4,185.0
9000,90.000,3774.3,586.31,5.0,7210,654481.6,190.0
9500,95.000,3772.3,644.61,5.0,7307,654398.8,195.0
10000,100.000,3764.4,809.91,5.0,7412,654320.2,200.0
10500,105.000,3759.6,652.13,2.5,7498,654230.7,205.0
11000,110.000,3753.9,747.58,2.5,7614,654144.4,210.0
11500,115.000,3758.6,885.83,2.5,7823,654070.9,215.0
12000,120.000,3759.2,681.84,5.0,7845,654002.4,220.0
12500,125.000,3769.0,548.24,5.0,7827,653931.5,225.0
13000,130.000,3768.0,466.76,5.0,7827,653856.2,230.0
13500,135.000,3770.9,527.39,5.0,7904,653762.5,235.0
14000,140.000,3767.2,417.14,5.0,8028,653677.4,240.0
14500,145.000,3776.7,482.63,5.0,8137,653599.8,245.0
15000,150.000,3770.9,451.77,7.5,8196,653527.0,250.0
15500,155.000,3772.2,546.14,7.5,8289,653457.9,255.0
16000,160.000,3772.5,602.61,5.0,8393,653365.6,260.0
16500,165.000,3772.9,482.76,5.0,8420,653264.7,265.0
17000,170.000,3753.8,440.89,5.0,8521,653175.2,270.0
17500,175.000,3766.7,532.44,5.0,8647,653095.6,275.0
18000,180.000,3763.1,477.05,5.0,8772,653026.4,280.0
18500,185.000,3759.6,463.36,7.5,8788,652944.9,285.0
19000,190.000,3769.4,446.12,7.5,8723,652867.8,290.0
19500,195.000,3777.7,519.72,5.0,8611,652782.1,295.0
20000,200.000,3779.8,556.60,5.0,8534,652688.1,300.0
