# Rising bubble trajectory (lattice units)
# g_LB=3e-05 tau=0.7 nu_LB=0.0666667 rho_ratio=10 R=12 dx=0.0005 dt=3.91031e-05 vel_conv=12.7867
step,time_s,centroid_y_mm,velocity_mm_s,mass
0,0,30,0,18746.8
10,0.000391031,29.9999,-0.273154,18746.7
20,0.000782062,29.9999,-0.0634107,18746.5
30,0.00117309,30,0.438997,18746.2
40,0.00156412,30.0004,0.838972,18745.7
50,0.00195515,30.0005,0.424364,18745.2
60,0.00234619,30.0004,-0.34632,18744.6
70,0.00273722,30,-0.897505,18744
80,0.00312825,29.9995,-1.33162,18743.3
90,0.00351928,29.9989,-1.50722,18742.5
100,0.00391031,29.9984,-1.26334,18741.6
110,0.00430134,29.9981,-0.926771,18740.6
120,0.00469237,30,4.8875,18739.5
130,0.0050834,30.0003,0.804828,18738.4
140,0.00547443,30.001,1.64868,18737.2
150,0.00586546,30.002,2.67788,18735.9
160,0.00625649,30.0054,8.74092,18734.5
170,0.00664753,30.0074,5.12163,18733.1
180,0.00703856,30.0098,5.96548,18731.6
190,0.00742959,30.0124,6.86786,18730
200,0.00782062,30.0175,13.0577,18728.3
210,0.00821165,30.0211,9.0726,18726.5
220,0.00860268,30.0291,20.3695,18724.8
230,0.00899371,30.0334,11.1798,18723.1
240,0.00938474,30.0381,11.9505,18721.5
250,0.00977577,30.0432,12.9504,18719.9
260,0.0101668,30.0479,12.2187,18718.5
270,0.0105578,30.0536,14.5357,18717.2
280,0.0109489,30.0597,15.4868,18715.9
290,0.0113399,30.0662,16.6234,18714.7
300,0.0117309,30.0732,17.8964,18713.6
310,0.012122,30.0827,24.4034,18712.6
320,0.012513,30.0909,20.9792,18711.6
330,0.012904,30.0998,22.701,18710.7
340,0.0132951,30.1097,25.3984,18709.9
350,0.0136861,30.1202,26.7154,18709.1
360,0.0140771,30.1335,34.1784,18708.5
370,0.0144681,30.1498,41.5145,18707.9
380,0.0148592,30.1644,37.4708,18707.4
390,0.0152502,30.1794,38.2708,18707.1
400,0.0156412,30.1947,39.139,18706.8
410,0.0160323,30.2109,41.5145,18706.6
420,0.0164233,30.2318,53.4308,18706.5
430,0.0168143,30.2535,55.3526,18706.5
440,0.0172054,30.2722,47.919,18706.4
450,0.0175964,30.2874,38.8073,18706.4
460,0.0179874,30.3073,50.9968,18706.4
470,0.0183785,30.328,52.9333,18706.3
480,0.0187695,30.3498,55.6453,18706.3
490,0.0191605,30.3723,57.6013,18706.3
500,0.0195515,30.396,60.6938,18706.3
510,0.0199426,30.4202,61.8547,18706.3
520,0.0203336,30.4455,64.5862,18706.3
530,0.0207246,30.471,65.3764,18706.2
540,0.0211157,30.4971,66.5129,18706.2
550,0.0215067,30.5232,66.8885,18706.2
560,0.0218977,30.5492,66.3324,18706.2
570,0.0222888,30.5757,67.7714,18706.2
580,0.0226798,30.6026,68.8689,18706.1
590,0.0230708,30.6297,69.4542,18706.1
600,0.0234619,30.6576,71.1858,18706.1
610,0.0238529,30.6856,71.698,18706.1
620,0.0242439,30.7106,64.0155,18706.1
630,0.0246349,30.737,67.4592,18706.1
640,0.025026,30.7645,70.2493,18706.1
650,0.025417,30.7917,69.4835,18706.1
660,0.025808,30.8173,65.5813,18706.1
670,0.0261991,30.8454,71.8102,18706.1
680,0.0265901,30.8716,66.908,18706.1
690,0.0269811,30.8994,71.2687,18706.1
700,0.0273722,30.9276,72.0443,18706.1
710,0.0277632,30.956,72.7272,18706.1
720,0.0281542,30.9841,71.815,18706
730,0.0285453,31.0117,70.5175,18706
740,0.0289363,31.04,72.4101,18706
750,0.0293273,31.0685,72.7857,18706
760,0.0297184,31.0964,71.5321,18706
770,0.0301094,31.1238,70.0444,18706
780,0.0305004,31.1528,74.1905,18706
790,0.0308914,31.1801,69.6298,18706
800,0.0312825,31.2066,67.8738,18706
810,0.0316735,31.2324,66.0398,18706
820,0.0320645,31.2586,66.869,18706
830,0.0324556,31.2855,68.8006,18706
840,0.0328466,31.3111,65.6301,18706
850,0.0332376,31.337,66.23,18706
860,0.0336287,31.3624,64.8057,18706
870,0.0340197,31.3875,64.1423,18706
880,0.0344107,31.4124,63.9082,18706
890,0.0348018,31.4373,63.5619,18706
900,0.0351928,31.4625,64.4496,18706
910,0.0355838,31.4867,61.9669,18706
920,0.0359748,31.5108,61.6108,18706
930,0.0363659,31.5348,61.2011,18706
940,0.0367569,31.5583,60.0792,18706
950,0.0371479,31.5833,64.0448,18705.9
960,0.037539,31.6065,59.3378,18705.9
970,0.03793,31.6293,58.2842,18705.9
980,0.038321,31.6526,59.7133,18705.9
990,0.0387121,31.6757,58.9134,18705.9
1000,0.0391031,31.6987,58.8792,18705.8
1010,0.0394941,31.7217,58.889,18705.8
1020,0.0398852,31.7445,58.3378,18705.8
1030,0.0402762,31.768,59.928,18705.8
1040,0.0406672,31.7911,59.2597,18705.8
1050,0.0410582,31.8145,59.6646,18705.7
1060,0.0414493,31.8398,64.6399,18705.7
1070,0.0418403,31.8662,67.6543,18705.7
1080,0.0422313,31.8956,75.2929,18705.6
1090,0.0426224,31.931,90.5017,18705.6
1100,0.0430134,32.0719,360.299,18705.6
1110,0.0434044,32.0979,66.5129,18705.6
1120,0.0437955,32.1239,66.4739,18705.5
1130,0.0441865,32.1542,77.4195,18705.5
1140,0.0445775,32.1848,78.3171,18705.5
1150,0.0449686,32.2115,68.3177,18705.4
1160,0.0453596,32.2384,68.6591,18705.4
1170,0.0457506,32.2663,71.4394,18705.4
1180,0.0461416,32.2944,71.8492,18705.3
1190,0.0465327,32.3251,78.4536,18705.3
1200,0.0469237,32.3542,74.4832,18705.3
1210,0.0473147,32.3841,76.5123,18705.3
1220,0.0477058,32.4164,82.3754,18705.2
1230,0.0480968,32.4471,78.5512,18705.2
1240,0.0484878,32.4781,79.3609,18705.2
1250,0.0488789,32.5114,85.0776,18705.1
1260,0.0492699,32.5451,86.2385,18705.1
1270,0.0496609,32.5768,80.9803,18705.1
1280,0.050052,32.6096,84.063,18705.1
1290,0.050443,32.6419,82.6387,18705
1300,0.050834,32.6739,81.7315,18705
1310,0.0512251,32.7051,79.8097,18705
1320,0.0516161,32.7372,82.0534,18705
1330,0.0520071,32.7717,88.2677,18705
1340,0.0523981,32.8064,88.6969,18705
1350,0.0527892,32.8416,89.9456,18704.9
1360,0.0531802,32.8775,91.9943,18704.9
1370,0.0535712,32.9132,91.2626,18704.9
1380,0.0539623,32.9496,92.9405,18704.9
