i,j,x,y,ux,uy
0,0,0.000000,0.000000,0.00000000e+00,0.00000000e+00
1,0,0.007812,0.000000,0.00000000e+00,0.00000000e+00
2,0,0.015625,0.000000,0.00000000e+00,0.00000000e+00
3,0,0.023438,0.000000,0.00000000e+00,0.00000000e+00
4,0,0.031250,0.000000,0.00000000e+00,0.00000000e+00
5,0,0.039062,0.000000,0.00000000e+00,0.00000000e+00
6,0,0.046875,0.000000,0.00000000e+00,0.00000000e+00
7,0,0.054688,0.000000,0.00000000e+00,0.00000000e+00
8,0,0.062500,0.000000,0.00000000e+00,0.00000000e+00
9,0,0.070312,0.000000,0.00000000e+00,0.00000000e+00
10,0,0.078125,0.000000,0.00000000e+00,0.00000000e+00
11,0,0.085938,0.000000,0.00000000e+00,0.00000000e+00
12,0,0.093750,0.000000,0.00000000e+00,0.00000000e+00
13,0,0.101562,0.000000,0.00000000e+00,0.00000000e+00
14,0,0.109375,0.000000,0.00000000e+00,0.00000000e+00
15,0,0.117188,0.000000,0.00000000e+00,0.00000000e+00
16,0,0.125000,0.000000,0.00000000e+00,0.00000000e+00
17,0,0.132812,0.000000,0.00000000e+00,0.00000000e+00
18,0,0.140625,0.000000,0.00000000e+00,0.00000000e+00
19,0,0.148438,0.000000,0.00000000e+00,0.00000000e+00
20,0,0.156250,0.000000,0.00000000e+00,0.00000000e+00
21,0,0.164062,0.000000,0.00000000e+00,0.00000000e+00
22,0,0.171875,0.000000,0.00000000e+00,0.00000000e+00
23,0,0.179688,0.000000,0.00000000e+00,0.00000000e+00
24,0,0.187500,0.000000,0.00000000e+00,0.00000000e+00
25,0,0.195312,0.000000,0.00000000e+00,0.00000000e+00
26,0,0.203125,0.000000,0.00000000e+00,0.00000000e+00
27,0,0.210938,0.000000,0.00000000e+00,0.00000000e+00
28,0,0.218750,0.000000,0.00000000e+00,0.00000000e+00
29,0,0.226562,0.000000,0.00000000e+00,0.00000000e+00
30,0,0.234375,0.000000,0.00000000e+00,0.00000000e+00
31,0,0.242188,0.000000,0.00000000e+00,0.00000000e+00
32,0,0.250000,0.000000,0.00000000e+00,0.00000000e+00
33,0,0.257812,0.000000,0.00000000e+00,0.00000000e+00
34,0,0.265625,0.000000,0.00000000e+00,0.00000000e+00
35,0,0.273438,0.000000,0.00000000e+00,0.00000000e+00
36,0,0.281250,0.000000,0.00000000e+00,0.00000000e+00
37,0,0.289062,0.000000,0.00000000e+00,0.00000000e+00
38,0,0.296875,0.000000,0.00000000e+00,0.00000000e+00
39,0,0.304688,0.000000,0.00000000e+00,0.00000000e+00
40,0,0.312500,0.000000,0.00000000e+00,0.00000000e+00
41,0,0.320312,0.000000,0.00000000e+00,0.00000000e+00
42,0,0.328125,0.000000,0.00000000e+00,0.00000000e+00
