step,time_ms,mass_total,mass_error_pct,max_vel_ms,R_eff_cells,sphericity
0,0.0,32768.2,0.0,0.0,19.4825,0.955491
200,10,32768.2,1.19209e-05,0.0610805,19.4085,1.18577
400,20,32768.2,5.96043e-05,0.0104744,19.4068,1.2641
600,30,32768.2,3.57626e-05,0.00427692,19.4017,1.25539
800,40,32768.2,4.76834e-05,0.00296861,19.4017,1.25539
1000,50,32768.2,5.96043e-05,0.00254832,19.4017,1.25539
1200,60,32768.2,2.38417e-05,0.00285911,19.4017,1.25539
1400,70,32768.2,-1.19209e-05,0.00574676,19.4118,1.2567
1600,80,32768.2,1.19209e-05,0.0029914,19.4118,1.2567
1800,90,32768.2,4.76834e-05,0.00320669,19.4017,1.25539
2000,100,32768.3,0.000190734,0.00402768,19.4118,1.2567
