fl,K_numerical,K_analytical,relative_error
1.0000000475e-03,9.9799987200e+08,9.9799993600e+08,6.4128258259e-08
1.0353219695e-03,9.9792921600e+08,9.9792921600e+08,0.0000000000e+00
1.0718910489e-03,9.9785606400e+08,9.9785606400e+08,0.0000000000e+00
1.1097524548e-03,9.9778022400e+08,9.9778022400e+08,0.0000000000e+00
1.1489511235e-03,9.9770182400e+08,9.9770188800e+08,6.4147414491e-08
1.1895343196e-03,9.9762073600e+08,9.9762067200e+08,6.4152636980e-08
1.2315503554e-03,9.9753651200e+08,9.9753644800e+08,6.4158058422e-08
1.2750512687e-03,9.9744934400e+08,9.9744934400e+08,0.0000000000e+00
1.3200886315e-03,9.9735923200e+08,9.9735923200e+08,0.0000000000e+00
1.3667159947e-03,9.9726572800e+08,9.9726579200e+08,6.4175466719e-08
1.4149912167e-03,9.9716915200e+08,9.9716915200e+08,0.0000000000e+00
1.4649715740e-03,9.9706905600e+08,9.9706905600e+08,0.0000000000e+00
1.5167172533e-03,9.9696544000e+08,9.9696544000e+08,0.0000000000e+00
1.5702898381e-03,9.9685798400e+08,9.9685798400e+08,0.0000000000e+00
1.6257556854e-03,9.9674681600e+08,9.9674681600e+08,0.0000000000e+00
1.6831805697e-03,9.9663168000e+08,9.9663168000e+08,0.0000000000e+00
1.7426329432e-03,9.9651238400e+08,9.9651244800e+08,6.4223982577e-08
1.8041862641e-03,9.9638905600e+08,9.9638905600e+08,0.0000000000e+00
1.8679137575e-03,9.9626118400e+08,9.9626118400e+08,0.0000000000e+00
1.9338922575e-03,9.9612876800e+08,9.9612876800e+08,0.0000000000e+00
2.0022001117e-03,9.9599161600e+08,9.9599155200e+08,6.4257569932e-08
2.0729217213e-03,9.9584947200e+08,9.9584947200e+08,0.0000000000e+00
2.1461416036e-03,9.9570246400e+08,9.9570246400e+08,0.0000000000e+00
2.2219463717e-03,9.9555014400e+08,9.9555014400e+08,0.0000000000e+00
2.3004298564e-03,9.9539225600e+08,9.9539219200e+08,6.4296266089e-08
2.3816856556e-03,9.9522880000e+08,9.9522880000e+08,0.0000000000e+00
2.4658103939e-03,9.9505952000e+08,9.9505952000e+08,0.0000000000e+00
2.5529076811e-03,9.9488396800e+08,9.9488403200e+08,6.4329107374e-08
2.6430815924e-03,9.9470227200e+08,9.9470227200e+08,0.0000000000e+00
2.7364403941e-03,9.9451424000e+08,9.9451417600e+08,6.4353031348e-08
2.8330953792e-03,9.9431923200e+08,9.9431923200e+08,0.0000000000e+00
2.9331659898e-03,9.9411712000e+08,9.9411712000e+08,0.0000000000e+00
3.0367714353e-03,9.9390771200e+08,9.9390771200e+08,0.0000000000e+00
3.1440362800e-03,9.9369094400e+08,9.9369094400e+08,0.0000000000e+00
3.2550881151e-03,9.9346617600e+08,9.9346617600e+08,0.0000000000e+00
3.3700643107e-03,9.9323315200e+08,9.9323315200e+08,0.0000000000e+00
3.4891017713e-03,9.9299180800e+08,9.9299180800e+08,0.0000000000e+00
3.6123418249e-03,9.9274150400e+08,9.9274150400e+08,0.0000000000e+00
3.7399369758e-03,9.9248224000e+08,9.9248217600e+08,6.4484787288e-08
3.8720390294e-03,9.9221324800e+08,9.9221318400e+08,6.4502266639e-08
4.0088049136e-03,9.9193459200e+08,9.9193452800e+08,6.4520385479e-08
4.1504041292e-03,9.9164550400e+08,9.9164550400e+08,0.0000000000e+00
4.2970045470e-03,9.9134572800e+08,9.9134566400e+08,6.4558712154e-08
4.4487812556e-03,9.9103494400e+08,9.9103500800e+08,6.4578948411e-08
4.6059237793e-03,9.9071251200e+08,9.9071251200e+08,0.0000000000e+00
4.7686113976e-03,9.9037811200e+08,9.9037811200e+08,0.0000000000e+00
4.9370485358e-03,9.9003104000e+08,9.9003104000e+08,0.0000000000e+00
5.1114349626e-03,9.8967104000e+08,9.8967104000e+08,0.0000000000e+00
5.2919778973e-03,9.8929734400e+08,9.8929734400e+08,0.0000000000e+00
5.4789013229e-03,9.8890950400e+08,9.8890944000e+08,6.4717752934e-08
5.6724268943e-03,9.8850681600e+08,9.8850681600e+08,0.0000000000e+00
5.8727855794e-03,9.8808864000e+08,9.8808870400e+08,6.4771512598e-08
6.0802237131e-03,9.8765446400e+08,9.8765446400e+08,0.0000000000e+00
6.2949894927e-03,9.8720345600e+08,9.8720339200e+08,6.4829599467e-08
6.5173376352e-03,9.8673452800e+08,9.8673452800e+08,0.0000000000e+00
6.7475433461e-03,9.8624736000e+08,9.8624742400e+08,6.4892439866e-08
6.9858799689e-03,9.8574086400e+08,9.8574086400e+08,0.0000000000e+00
7.2326310910e-03,9.8521427200e+08,9.8521427200e+08,0.0000000000e+00
7.4881063774e-03,9.8466630400e+08,9.8466630400e+08,0.0000000000e+00
7.7525968663e-03,9.8409625600e+08,9.8409625600e+08,0.0000000000e+00
8.0264341086e-03,9.8350291200e+08,9.8350291200e+08,0.0000000000e+00
8.3099445328e-03,9.8288512000e+08,9.8288512000e+08,0.0000000000e+00
8.6034629494e-03,9.8224160000e+08,9.8224160000e+08,0.0000000000e+00
8.9073544368e-03,9.8157081600e+08,9.8157075200e+08,6.5201618327e-08
9.2219803482e-03,9.8087174400e+08,9.8087174400e+08,0.0000000000e+00
9.5477141440e-03,9.8014265600e+08,9.8014265600e+08,0.0000000000e+00
9.8849581555e-03,9.7938176000e+08,9.7938176000e+08,0.0000000000e+00
1.0234114714e-02,9.7858758400e+08,9.7858758400e+08,0.0000000000e+00
1.0595601983e-02,9.7775788800e+08,9.7775788800e+08,0.0000000000e+00
1.0969856754e-02,9.7689094400e+08,9.7689100800e+08,6.5513958702e-08
1.1357333511e-02,9.7598451200e+08,9.7598451200e+08,0.0000000000e+00
1.1758497916e-02,9.7503603200e+08,9.7503603200e+08,0.0000000000e+00
1.2173827738e-02,9.7404313600e+08,9.7404313600e+08,0.0000000000e+00
1.2603828683e-02,9.7300300800e+08,9.7300300800e+08,0.0000000000e+00
1.3049017638e-02,9.7191270400e+08,9.7191270400e+08,0.0000000000e+00
1.3509934768e-02,9.7076883200e+08,9.7076883200e+08,0.0000000000e+00
1.3987129554e-02,9.6956812800e+08,9.6956812800e+08,0.0000000000e+00
1.4481183141e-02,9.6830668800e+08,9.6830668800e+08,0.0000000000e+00
1.4992683195e-02,9.6698060800e+08,9.6698060800e+08,0.0000000000e+00
1.5522254631e-02,9.6558515200e+08,9.6558515200e+08,0.0000000000e+00
1.6070527956e-02,9.6411552000e+08,9.6411558400e+08,6.6382085606e-08
1.6638170928e-02,9.6256691200e+08,9.6256691200e+08,0.0000000000e+00
1.7225859687e-02,9.6093318400e+08,9.6093318400e+08,0.0000000000e+00
1.7834311351e-02,9.5920832000e+08,9.5920832000e+08,0.0000000000e+00
1.8464250490e-02,9.5738560000e+08,9.5738560000e+08,0.0000000000e+00
1.9116438925e-02,9.5545785600e+08,9.5545785600e+08,0.0000000000e+00
1.9791664556e-02,9.5341689600e+08,9.5341689600e+08,0.0000000000e+00
2.0490745082e-02,9.5125427200e+08,9.5125427200e+08,0.0000000000e+00
2.1214520559e-02,9.4896051200e+08,9.4896051200e+08,0.0000000000e+00
2.1963853389e-02,9.4652563200e+08,9.4652563200e+08,0.0000000000e+00
2.2739654407e-02,9.4393843200e+08,9.4393843200e+08,0.0000000000e+00
2.3542864248e-02,9.4118688000e+08,9.4118694400e+08,6.7999245346e-08
2.4374445900e-02,9.3825817600e+08,9.3825817600e+08,0.0000000000e+00
2.5235394016e-02,9.3513779200e+08,9.3513779200e+08,0.0000000000e+00
2.6126751676e-02,9.3181081600e+08,9.3181081600e+08,0.0000000000e+00
2.7049593627e-02,9.2826060800e+08,9.2826060800e+08,0.0000000000e+00
2.8005039319e-02,9.2446918400e+08,9.2446924800e+08,6.9228910604e-08
2.8994224966e-02,9.2041753600e+08,9.2041753600e+08,0.0000000000e+00
3.0018359423e-02,9.1608467200e+08,9.1608467200e+08,0.0000000000e+00
3.1078658998e-02,9.1144832000e+08,9.1144838400e+08,7.0217907933e-08
3.2176420093e-02,9.0648473600e+08,9.0648473600e+08,0.0000000000e+00
3.3312946558e-02,9.0116844800e+08,9.0116844800e+08,0.0000000000e+00
3.4489627928e-02,8.9547200000e+08,8.9547200000e+08,0.0000000000e+00
3.5707868636e-02,8.8936697600e+08,8.8936697600e+08,0.0000000000e+00
3.6969121546e-02,8.8282259200e+08,8.8282259200e+08,0.0000000000e+00
3.8274947554e-02,8.7580704000e+08,8.7580704000e+08,0.0000000000e+00
