i,j,fl,pressure,ux,uy,vmag
0,0,1.00000000e+00,-1.02778280e-03,0.00000000e+00,0.00000000e+00,0.00000000e+00
1,0,1.00000000e+00,-1.13137567e-03,0.00000000e+00,0.00000000e+00,0.00000000e+00
2,0,1.00000000e+00,-1.14295888e-03,0.00000000e+00,0.00000000e+00,0.00000000e+00
3,0,1.00000000e+00,-1.09795737e-03,0.00000000e+00,0.00000000e+00,0.00000000e+00
4,0,1.00000000e+00,-1.03008747e-03,0.00000000e+00,0.00000000e+00,0.00000000e+00
5,0,1.00000000e+00,-9.52442526e-04,0.00000000e+00,0.00000000e+00,0.00000000e+00
6,0,1.00000000e+00,-8.69353651e-04,0.00000000e+00,0.00000000e+00,0.00000000e+00
7,0,1.00000000e+00,-7.82827556e-04,0.00000000e+00,0.00000000e+00,0.00000000e+00
8,0,1.00000000e+00,-6.94016635e-04,0.00000000e+00,0.00000000e+00,0.00000000e+00
9,0,1.00000000e+00,-6.03755354e-04,0.00000000e+00,0.00000000e+00,0.00000000e+00
10,0,1.00000000e+00,-5.12758910e-04,0.00000000e+00,0.00000000e+00,0.00000000e+00
11,0,1.00000000e+00,-4.21146571e-04,0.00000000e+00,0.00000000e+00,0.00000000e+00
12,0,1.00000000e+00,-3.29196453e-04,0.00000000e+00,0.00000000e+00,0.00000000e+00
13,0,1.00000000e+00,-2.37067550e-04,0.00000000e+00,0.00000000e+00,0.00000000e+00
14,0,1.00000000e+00,-1.44720078e-04,0.00000000e+00,0.00000000e+00,0.00000000e+00
15,0,1.00000000e+00,-5.24322204e-05,0.00000000e+00,0.00000000e+00,0.00000000e+00
16,0,1.00000000e+00,3.98953780e-05,0.00000000e+00,0.00000000e+00,0.00000000e+00
17,0,1.00000000e+00,1.32163375e-04,0.00000000e+00,0.00000000e+00,0.00000000e+00
18,0,1.00000000e+00,2.24272415e-04,0.00000000e+00,0.00000000e+00,0.00000000e+00
19,0,1.00000000e+00,3.16103309e-04,0.00000000e+00,0.00000000e+00,0.00000000e+00
20,0,1.00000000e+00,4.07457352e-04,0.00000000e+00,0.00000000e+00,0.00000000e+00
21,0,1.00000000e+00,4.97698784e-04,0.00000000e+00,0.00000000e+00,0.00000000e+00
22,0,1.00000000e+00,5.84085821e-04,0.00000000e+00,0.00000000e+00,0.00000000e+00
23,0,1.00000000e+00,6.58194243e-04,0.00000000e+00,0.00000000e+00,0.00000000e+00
24,0,5.00000007e-02,7.03255355e-04,0.00000000e+00,0.00000000e+00,0.00000000e+00
25,0,5.00000007e-02,7.18990981e-04,0.00000000e+00,0.00000000e+00,0.00000000e+00
26,0,5.00000007e-02,7.22328841e-04,0.00000000e+00,0.00000000e+00,0.00000000e+00
27,0,5.00000007e-02,7.21812248e-04,0.00000000e+00,0.00000000e+00,0.00000000e+00
28,0,5.00000007e-02,7.20143318e-04,0.00000000e+00,0.00000000e+00,0.00000000e+00
29,0,5.00000007e-02,7.17957853e-04,0.00000000e+00,0.00000000e+00,0.00000000e+00
30,0,5.00000007e-02,7.15454458e-04,0.00000000e+00,0.00000000e+00,0.00000000e+00
31,0,5.00000007e-02,7.12951063e-04,0.00000000e+00,0.00000000e+00,0.00000000e+00
32,0,5.00000007e-02,7.10368156e-04,0.00000000e+00,0.00000000e+00,0.00000000e+00
33,0,5.00000007e-02,7.07785308e-04,0.00000000e+00,0.00000000e+00,0.00000000e+00
34,0,5.00000007e-02,7.05242157e-04,0.00000000e+00,0.00000000e+00,0.00000000e+00
35,0,5.00000007e-02,7.02659308e-04,0.00000000e+00,0.00000000e+00,0.00000000e+00
36,0,5.00000007e-02,7.00076460e-04,0.00000000e+00,0.00000000e+00,0.00000000e+00
37,0,5.00000007e-02,6.97493553e-04,0.00000000e+00,0.00000000e+00,0.00000000e+00
38,0,5.00000007e-02,6.94791495e-04,0.00000000e+00,0.00000000e+00,0.00000000e+00
39,0,5.00000007e-02,6.91811263e-04,0.00000000e+00,0.00000000e+00,0.00000000e+00
40,0,5.00000007e-02,6.88433647e-04,0.00000000e+00,0.00000000e+00,0.00000000e+00
41,0,5.00000007e-02,6.84221624e-04,0.00000000e+00,0.00000000e+00,0.00000000e+00
42,0,5.00000007e-02,6.78777695e-04,0.00000000e+00,0.00000000e+00,0.00000000e+00
43,0,5.00000007e-02,6.71267509e-04,0.00000000e+00,0.00000000e+00,0.00000000e+00
44,0,5.00000007e-02,6.60260557e-04,0.00000000e+00,0.00000000e+00,0.00000000e+00
45,0,5.00000007e-02,6.40749931e-04,0.00000000e+00,0.00000000e+00,0.00000000e+00
46,0,5.00000007e-02,6.00616157e-04,0.00000000e+00,0.00000000e+00,0.00000000e+00
47,0,5.00000007e-02,5.30600548e-04,0.00000000e+00,0.00000000e+00,0.00000000e+00
0,1,1.00000000e+00,-1.18297338e-03,0.00000000e+00,0.00000000e+00,0.00000000e+00
1,1,1.00000000e+00,-1.18722522e-03,1.31695298e-03,1.47379213e-03,1.97646860e-03
2,1,1.00000000e+00,-1.14391255e-03,1.21041492e-03,1.46893656e-03,1.90338620e-03
3,1,1.00000000e+00,-1.09134126e-03,1.04330364e-03,1.34533958e-03,1.70247490e-03
4,1,1.00000000e+00,-1.02510059e-03,8.88585346e-04,1.21151889e-03,1.50245195e-03
5,1,1.00000000e+00,-9.48647677e-04,7.66946585e-04,1.08416833e-03,1.32801651e-03
6,1,1.00000000e+00,-8.66274058e-04,6.76061551e-04,9.63989587e-04,1.17742736e-03
