step,p_min,p_max,p_range,p_at_interface,max_ux,has_nan
0,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0
200,-1.44936645e-03,7.46409118e-04,2.19577551e-03,7.46409118e-04,3.40520544e-03,0
400,-1.45858526e-03,7.46965408e-04,2.20555067e-03,7.46965408e-04,3.56643461e-03,0
600,-1.45928073e-03,7.46846199e-04,2.20612693e-03,7.46846199e-04,3.57877929e-03,0
800,-1.45928073e-03,7.46925711e-04,2.20620632e-03,7.46925711e-04,3.57972924e-03,0
1000,-1.45930052e-03,7.46885955e-04,2.20618653e-03,7.46885955e-04,3.57981119e-03,0
1200,-1.45930052e-03,7.46925711e-04,2.20622635e-03,7.46925711e-04,3.57984845e-03,0
1400,-1.45932043e-03,7.46965408e-04,2.20628595e-03,7.46965408e-04,3.57983867e-03,0
1600,-1.45934033e-03,7.46965408e-04,2.20630574e-03,7.46965408e-04,3.57985357e-03,0
1800,-1.45930052e-03,7.46846199e-04,2.20614672e-03,7.46846199e-04,3.57991783e-03,0
2000,-1.45928073e-03,7.46925711e-04,2.20620632e-03,7.46925711e-04,3.57989687e-03,0
2200,-1.45930052e-03,7.46885955e-04,2.20618653e-03,7.46885955e-04,3.57983727e-03,0
2400,-1.45928073e-03,7.46925711e-04,2.20620632e-03,7.46925711e-04,3.57982051e-03,0
2600,-1.45928073e-03,7.46846199e-04,2.20612693e-03,7.46846199e-04,3.57987126e-03,0
2800,-1.45928073e-03,7.46965408e-04,2.20624614e-03,7.46925711e-04,3.57985171e-03,0
3000,-1.45928073e-03,7.46925711e-04,2.20620632e-03,7.46885955e-04,3.57987033e-03,0
3200,-1.45932043e-03,7.46925711e-04,2.20624614e-03,7.46925711e-04,3.57985543e-03,0
3400,-1.45928073e-03,7.46846199e-04,2.20612693e-03,7.46846199e-04,3.57990107e-03,0
3600,-1.45930052e-03,7.46965408e-04,2.20626593e-03,7.46925711e-04,3.57985916e-03,0
3800,-1.45930052e-03,7.46965408e-04,2.20626593e-03,7.46965408e-04,3.57987592e-03,0
4000,-1.45936012e-03,7.46965408e-04,2.20632553e-03,7.46965408e-04,3.57988523e-03,0
4200,-1.45928073e-03,7.46925711e-04,2.20620632e-03,7.46925711e-04,3.57985776e-03,0
4400,-1.45928073e-03,7.46925711e-04,2.20620632e-03,7.46925711e-04,3.57988616e-03,0
4600,-1.45932043e-03,7.46806501e-04,2.20612693e-03,7.46806501e-04,3.57987313e-03,0
4800,-1.45930052e-03,7.46925711e-04,2.20622635e-03,7.46925711e-04,3.57985171e-03,0
5000,-1.45934033e-03,7.46925711e-04,2.20626593e-03,7.46925711e-04,3.57992854e-03,0
5200,-1.45928073e-03,7.46885955e-04,2.20616674e-03,7.46885955e-04,3.57982563e-03,0
5400,-1.45930052e-03,7.46965408e-04,2.20626593e-03,7.46965408e-04,3.57981725e-03,0
5600,-1.45928073e-03,7.46885955e-04,2.20616674e-03,7.46885955e-04,3.57987639e-03,0
5800,-1.45932043e-03,7.46965408e-04,2.20628595e-03,7.46965408e-04,3.57986148e-03,0
6000,-1.45928073e-03,7.46925711e-04,2.20620632e-03,7.46925711e-04,3.57991364e-03,0
