i,fl,ux,uy,vmag,K_darcy,rho
0,1.00000000e+00,5.00000566e-02,3.72529074e-09,5.00000566e-02,0.00000000e+00,9.99999881e-01
1,9.92125988e-01,1.52851455e-03,1.13883097e-10,1.52851455e-03,6.34230576e+01,9.99999881e-01
2,9.84251976e-01,3.81937396e-04,2.84565253e-11,3.81937396e-04,2.59823273e+02,9.99999881e-01
3,9.76377964e-01,1.66432452e-04,1.24001720e-11,1.66432452e-04,5.98844910e+02,9.99999881e-01
4,9.68503952e-01,9.15112905e-05,6.81811595e-12,9.15112905e-05,1.09076233e+03,9.99999881e-01
5,9.60629940e-01,5.71912060e-05,4.26107283e-12,5.71912060e-05,1.74652234e+03,9.99999881e-01
6,9.52755928e-01,3.87628606e-05,2.88805525e-12,3.87628606e-05,2.57779150e+03,9.99999881e-01
7,9.44881916e-01,2.77854797e-05,2.07017758e-12,2.77854797e-05,3.59700562e+03,9.99999881e-01
8,9.37007904e-01,2.07493922e-05,1.54594870e-12,2.07493922e-05,4.81742285e+03,9.99999881e-01
9,9.29133832e-01,1.59867286e-05,1.19110288e-12,1.59867286e-05,6.25319482e+03,9.99999881e-01
10,9.21259820e-01,1.26240711e-05,9.40565659e-13,1.26240711e-05,7.91938281e+03,9.99999881e-01
11,9.13385808e-01,1.01687201e-05,7.57627956e-13,1.01687201e-05,9.83208887e+03,9.99999881e-01
12,9.05511796e-01,8.32606383e-06,6.20339500e-13,8.32606383e-06,1.20084883e+04,9.99999881e-01
13,8.97637784e-01,6.91137484e-06,5.14937051e-13,6.91137484e-06,1.44669160e+04,9.99999881e-01
14,8.89763772e-01,5.80418964e-06,4.32445394e-13,5.80418964e-06,1.72269512e+04,9.99999881e-01
15,8.81889760e-01,4.92332128e-06,3.66815654e-13,4.92332128e-06,2.03095117e+04,9.99999881e-01
16,8.74015749e-01,4.21249206e-06,3.13854818e-13,4.21249206e-06,2.37369395e+04,9.99999881e-01
17,8.66141737e-01,3.63172762e-06,2.70584526e-13,3.63172762e-06,2.75331328e+04,9.99999881e-01
18,8.58267725e-01,3.15202942e-06,2.34844262e-13,3.15202942e-06,3.17236250e+04,9.99999881e-01
19,8.50393713e-01,2.75196294e-06,2.05037010e-13,2.75196294e-06,3.63357344e+04,9.99999881e-01
20,8.42519701e-01,2.41542034e-06,1.79962666e-13,2.41542034e-06,4.13986992e+04,9.99999881e-01
21,8.34645689e-01,2.13011754e-06,1.58705961e-13,2.13011754e-06,4.69438125e+04,9.99999881e-01
22,8.26771617e-01,1.88655906e-06,1.40559466e-13,1.88655906e-06,5.30046094e+04,9.99999881e-01
23,8.18897605e-01,1.67732185e-06,1.24970089e-13,1.67732185e-06,5.96169102e+04,9.99999881e-01
24,8.11023593e-01,1.49653226e-06,1.11500232e-13,1.49653226e-06,6.68192109e+04,9.99999881e-01
25,8.03149581e-01,1.33950050e-06,9.98004644e-14,1.33950050e-06,7.46527656e+04,9.99999881e-01
26,7.95275569e-01,1.20244749e-06,8.95892315e-14,1.20244749e-06,8.31617969e+04,9.99999881e-01
27,7.87401557e-01,1.08230176e-06,8.06376857e-14,1.08230176e-06,9.23937656e+04,9.99999881e-01
28,7.79527545e-01,9.76547767e-07,7.27584090e-14,9.76547767e-07,1.02399641e+05,9.99999881e-01
29,7.71653533e-01,8.83111113e-07,6.57968417e-14,8.83111113e-07,1.13234148e+05,9.99999881e-01
30,7.63779521e-01,8.00269106e-07,5.96246346e-14,8.00269106e-07,1.24956094e+05,9.99999881e-01
31,7.55905509e-01,7.26582698e-07,5.41345770e-14,7.26582698e-07,1.37628719e+05,9.99999881e-01
32,7.48031497e-01,6.60842829e-07,4.92365785e-14,6.60842829e-07,1.51320062e+05,9.99999881e-01
33,7.40157485e-01,6.02028308e-07,4.48545586e-14,6.02028308e-07,1.66103312e+05,9.99999881e-01
34,7.32283473e-01,5.49272158e-07,4.09239225e-14,5.49272158e-07,1.82057297e+05,9.99999881e-01
35,7.24409461e-01,5.01834847e-07,3.73895725e-14,5.01834847e-07,1.99266953e+05,9.99999881e-01
36,7.16535449e-01,4.59082599e-07,3.42042848e-14,4.59082599e-07,2.17823953e+05,9.99999881e-01
37,7.08661437e-01,4.20470769e-07,3.13274831e-14,4.20470769e-07,2.37826891e+05,9.99999881e-01
38,7.00787425e-01,3.85528409e-07,2.87240765e-14,3.85528409e-07,2.59382516e+05,9.99999881e-01
39,6.92913413e-01,3.53847412e-07,2.63636616e-14,3.53847412e-07,2.82605969e+05,9.99999881e-01
40,6.85039401e-01,3.25072790e-07,2.42197873e-14,3.25072790e-07,3.07621688e+05,9.99999881e-01
41,6.77165389e-01,2.98894747e-07,2.22693720e-14,2.98894747e-07,3.34564281e+05,9.99999881e-01
42,6.69291377e-01,2.75041884e-07,2.04921969e-14,2.75041884e-07,3.63579344e+05,9.99999881e-01
43,6.61417365e-01,2.53275999e-07,1.88705134e-14,2.53275999e-07,3.94824594e+05,9.99999881e-01
44,6.53543293e-01,2.33386942e-07,1.73886648e-14,2.33386942e-07,4.28471406e+05,9.99999881e-01
45,6.45669281e-01,2.15189857e-07,1.60328785e-14,2.15189857e-07,4.64704375e+05,9.99999881e-01
46,6.37795269e-01,1.98520354e-07,1.47909046e-14,1.98520354e-07,5.03725188e+05,9.99999881e-01
47,6.29921257e-01,1.83232856e-07,1.36518985e-14,1.83232856e-07,5.45752188e+05,9.99999881e-01
