i,j,fl,pressure,ux,uy,vmag
0,0,1.00000000e+00,-1.98682155e-08,0.00000000e+00,0.00000000e+00,0.00000000e+00
1,0,1.00000000e+00,-1.98682155e-08,0.00000000e+00,0.00000000e+00,0.00000000e+00
2,0,1.00000000e+00,-1.98682155e-08,0.00000000e+00,0.00000000e+00,0.00000000e+00
3,0,1.00000000e+00,-1.98682155e-08,0.00000000e+00,0.00000000e+00,0.00000000e+00
4,0,1.00000000e+00,-1.98682155e-08,0.00000000e+00,0.00000000e+00,0.00000000e+00
5,0,1.00000000e+00,-1.98682155e-08,0.00000000e+00,0.00000000e+00,0.00000000e+00
6,0,1.00000000e+00,-1.98682155e-08,0.00000000e+00,0.00000000e+00,0.00000000e+00
7,0,1.00000000e+00,-1.98682155e-08,0.00000000e+00,0.00000000e+00,0.00000000e+00
8,0,1.00000000e+00,-1.98682155e-08,0.00000000e+00,0.00000000e+00,0.00000000e+00
9,0,1.00000000e+00,-1.98682155e-08,0.00000000e+00,0.00000000e+00,0.00000000e+00
10,0,1.00000000e+00,-1.98682155e-08,0.00000000e+00,0.00000000e+00,0.00000000e+00
11,0,1.00000000e+00,-1.98682155e-08,0.00000000e+00,0.00000000e+00,0.00000000e+00
12,0,1.00000000e+00,-1.98682155e-08,0.00000000e+00,0.00000000e+00,0.00000000e+00
13,0,1.00000000e+00,-1.98682155e-08,0.00000000e+00,0.00000000e+00,0.00000000e+00
14,0,1.00000000e+00,-1.98682155e-08,0.00000000e+00,0.00000000e+00,0.00000000e+00
15,0,1.00000000e+00,-1.98682155e-08,0.00000000e+00,0.00000000e+00,0.00000000e+00
16,0,9.99999978e-03,-1.98682155e-08,0.00000000e+00,0.00000000e+00,0.00000000e+00
17,0,9.99999978e-03,-1.98682155e-08,0.00000000e+00,0.00000000e+00,0.00000000e+00
18,0,9.99999978e-03,-1.98682155e-08,0.00000000e+00,0.00000000e+00,0.00000000e+00
19,0,9.99999978e-03,-1.98682155e-08,0.00000000e+00,0.00000000e+00,0.00000000e+00
20,0,9.99999978e-03,-1.98682155e-08,0.00000000e+00,0.00000000e+00,0.00000000e+00
21,0,9.99999978e-03,-1.98682155e-08,0.00000000e+00,0.00000000e+00,0.00000000e+00
22,0,9.99999978e-03,-1.98682155e-08,0.00000000e+00,0.00000000e+00,0.00000000e+00
23,0,9.99999978e-03,-1.98682155e-08,0.00000000e+00,0.00000000e+00,0.00000000e+00
24,0,9.99999978e-03,-1.98682155e-08,0.00000000e+00,0.00000000e+00,0.00000000e+00
25,0,9.99999978e-03,-1.98682155e-08,0.00000000e+00,0.00000000e+00,0.00000000e+00
26,0,9.99999978e-03,-1.98682155e-08,0.00000000e+00,0.00000000e+00,0.00000000e+00
27,0,9.99999978e-03,-1.98682155e-08,0.00000000e+00,0.00000000e+00,0.00000000e+00
28,0,9.99999978e-03,-1.98682155e-08,0.00000000e+00,0.00000000e+00,0.00000000e+00
29,0,9.99999978e-03,-1.98682155e-08,0.00000000e+00,0.00000000e+00,0.00000000e+00
30,0,9.99999978e-03,-1.98682155e-08,0.00000000e+00,0.00000000e+00,0.00000000e+00
31,0,9.99999978e-03,-1.98682155e-08,0.00000000e+00,0.00000000e+00,0.00000000e+00
0,1,1.00000000e+00,-3.97364310e-08,5.00000566e-02,2.42143905e-08,5.00000566e-02
1,1,1.00000000e+00,-3.97364310e-08,5.00000566e-02,2.42143905e-08,5.00000566e-02
2,1,1.00000000e+00,-3.97364310e-08,5.00000566e-02,2.42143905e-08,5.00000566e-02
3,1,1.00000000e+00,-3.97364310e-08,5.00000566e-02,2.42143905e-08,5.00000566e-02
4,1,1.00000000e+00,-3.97364310e-08,5.00000566e-02,2.42143905e-08,5.00000566e-02
5,1,1.00000000e+00,-3.97364310e-08,5.00000566e-02,2.42143905e-08,5.00000566e-02
6,1,1.00000000e+00,-3.97364310e-08,5.00000566e-02,2.42143905e-08,5.00000566e-02
7,1,1.00000000e+00,-3.97364310e-08,5.00000566e-02,2.42143905e-08,5.00000566e-02
8,1,1.00000000e+00,-3.97364310e-08,5.00000566e-02,2.42143905e-08,5.00000566e-02
9,1,1.00000000e+00,-3.97364310e-08,5.00000566e-02,2.42143905e-08,5.00000566e-02
10,1,1.00000000e+00,-3.97364310e-08,5.00000566e-02,2.42143905e-08,5.00000566e-02
11,1,1.00000000e+00,-3.97364310e-08,5.00000566e-02,2.42143905e-08,5.00000566e-02
12,1,1.00000000e+00,-3.97364310e-08,5.00000566e-02,2.42143905e-08,5.00000566e-02
13,1,1.00000000e+00,-3.97364310e-08,5.00000566e-02,2.42143905e-08,5.00000566e-02
14,1,1.00000000e+00,-3.97364310e-08,5.00000566e-02,2.42143905e-08,5.00000566e-02
15,1,1.00000000e+00,-3.97364310e-08,5.00000566e-02,2.42143905e-08,5.00000566e-02
16,1,9.99999978e-03,-3.97364310e-08,1.02132539e-14,4.94614909e-21,1.02132539e-14
17,1,9.99999978e-03,-3.97364310e-08,1.02132539e-14,4.94614909e-21,1.02132539e-14
18,1,9.99999978e-03,-3.97364310e-08,1.02132539e-14,4.94614909e-21,1.02132539e-14
19,1,9.99999978e-03,-3.97364310e-08,1.02132539e-14,4.94614909e-21,1.02132539e-14
20,1,9.99999978e-03,-3.97364310e-08,1.02132539e-14,4.94614909e-21,1.02132539e-14
21,1,9.99999978e-03,-3.97364310e-08,1.02132539e-14,4.94614909e-21,1.02132539e-14
22,1,9.99999978e-03,-3.97364310e-08,1.02132539e-14,4.94614909e-21,1.02132539e-14
23,1,9.99999978e-03,-3.97364310e-08,1.02132539e-14,4.94614909e-21,1.02132539e-14
24,1,9.99999978e-03,-3.97364310e-08,1.02132539e-14,4.94614909e-21,1.02132539e-14
25,1,9.99999978e-03,-3.97364310e-08,1.02132539e-14,4.94614909e-21,1.02132539e-14
26,1,9.99999978e-03,-3.97364310e-08,1.02132539e-14,4.94614909e-21,1.02132539e-14
27,1,9.99999978e-03,-3.97364310e-08,1.02132539e-14,4.94614909e-21,1.02132539e-14
28,1,9.99999978e-03,-3.97364310e-08,1.02132539e-14,4.94614909e-21,1.02132539e-14
29,1,9.99999978e-03,-3.97364310e-08,1.02132539e-14,4.94614909e-21,1.02132539e-14
30,1,9.99999978e-03,-3.97364310e-08,1.02132539e-14,4.94614909e-21,1.02132539e-14
31,1,9.99999978e-03,-3.97364310e-08,1.02132539e-14,4.94614909e-21,1.02132539e-14
0,2,1.00000000e+00,-3.97364310e-08,5.00000566e-02,9.31322663e-09,5.00000566e-02
1,2,1.00000000e+00,-3.97364310e-08,5.00000566e-02,9.31322663e-09,5.00000566e-02
2,2,1.00000000e+00,-3.97364310e-08,5.00000566e-02,9.31322663e-09,5.00000566e-02
3,2,1.00000000e+00,-3.97364310e-08,5.00000566e-02,9.31322663e-09,5.00000566e-02
4,2,1.00000000e+00,-3.97364310e-08,5.00000566e-02,9.31322663e-09,5.00000566e-02
5,2,1.00000000e+00,-3.97364310e-08,5.00000566e-02,9.31322663e-09,5.00000566e-02
6,2,1.00000000e+00,-3.97364310e-08,5.00000566e-02,9.31322663e-09,5.00000566e-02
7,2,1.00000000e+00,-3.97364310e-08,5.00000566e-02,9.31322663e-09,5.00000566e-02
8,2,1.00000000e+00,-3.97364310e-08,5.00000566e-02,9.31322663e-09,5.00000566e-02
9,2,1.00000000e+00,-3.97364310e-08,5.00000566e-02,9.31322663e-09,5.00000566e-02
10,2,1.00000000e+00,-3.97364310e-08,5.00000566e-02,9.31322663e-09,5.00000566e-02
11,2,1.00000000e+00,-3.97364310e-08,5.00000566e-02,9.31322663e-09,5.00000566e-02
12,2,1.00000000e+00,-3.97364310e-08,5.00000566e-02,9.31322663e-09,5.00000566e-02
13,2,1.00000000e+00,-3.97364310e-08,5.00000566e-02,9.31322663e-09,5.00000566e-02
14,2,1.00000000e+00,-3.97364310e-08,5.00000566e-02,9.31322663e-09,5.00000566e-02
15,2,1.00000000e+00,-3.97364310e-08,5.00000566e-02,9.31322663e-09,5.00000566e-02
16,2,9.99999978e-03,-3.97364310e-08,1.02132539e-14,1.90236496e-21,1.02132539e-14
17,2,9.99999978e-03,-3.97364310e-08,1.02132539e-14,1.90236496e-21,1.02132539e-14
18,2,9.99999978e-03,-3.97364310e-08,1.02132539e-14,1.90236496e-21,1.02132539e-14
19,2,9.99999978e-03,-3.97364310e-08,1.02132539e-14,1.90236496e-21,1.02132539e-14
20,2,9.99999978e-03,-3.97364310e-08,1.02132539e-14,1.90236496e-21,1.02132539e-14
21,2,9.99999978e-03,-3.97364310e-08,1.02132539e-14,1.90236496e-21,1.02132539e-14
22,2,9.99999978e-03,-3.97364310e-08,1.02132539e-14,1.90236496e-21,1.02132539e-14
