i,fl,ux,uy,vmag,K_darcy,rho
0,1.00000000e+00,5.00000566e-02,3.72529074e-09,5.00000566e-02,0.00000000e+00,9.99999881e-01
1,1.00000000e+00,5.00000566e-02,3.72529074e-09,5.00000566e-02,0.00000000e+00,9.99999881e-01
2,1.00000000e+00,5.00000566e-02,3.72529074e-09,5.00000566e-02,0.00000000e+00,9.99999881e-01
3,1.00000000e+00,5.00000566e-02,3.72529074e-09,5.00000566e-02,0.00000000e+00,9.99999881e-01
4,1.00000000e+00,5.00000566e-02,3.72529074e-09,5.00000566e-02,0.00000000e+00,9.99999881e-01
5,1.00000000e+00,5.00000566e-02,3.72529074e-09,5.00000566e-02,0.00000000e+00,9.99999881e-01
6,1.00000000e+00,5.00000566e-02,3.72529074e-09,5.00000566e-02,0.00000000e+00,9.99999881e-01
7,1.00000000e+00,5.00000566e-02,3.72529074e-09,5.00000566e-02,0.00000000e+00,9.99999881e-01
8,1.00000000e+00,5.00000566e-02,3.72529074e-09,5.00000566e-02,0.00000000e+00,9.99999881e-01
9,1.00000000e+00,5.00000566e-02,3.72529074e-09,5.00000566e-02,0.00000000e+00,9.99999881e-01
10,1.00000000e+00,5.00000566e-02,3.72529074e-09,5.00000566e-02,0.00000000e+00,9.99999881e-01
11,1.00000000e+00,5.00000566e-02,3.72529074e-09,5.00000566e-02,0.00000000e+00,9.99999881e-01
12,1.00000000e+00,5.00000566e-02,3.72529074e-09,5.00000566e-02,0.00000000e+00,9.99999881e-01
13,1.00000000e+00,5.00000566e-02,3.72529074e-09,5.00000566e-02,0.00000000e+00,9.99999881e-01
14,1.00000000e+00,5.00000566e-02,3.72529074e-09,5.00000566e-02,0.00000000e+00,9.99999881e-01
15,1.00000000e+00,5.00000566e-02,3.72529074e-09,5.00000566e-02,0.00000000e+00,9.99999881e-01
16,1.00000000e+00,5.00000566e-02,3.72529074e-09,5.00000566e-02,0.00000000e+00,9.99999881e-01
17,1.00000000e+00,5.00000566e-02,3.72529074e-09,5.00000566e-02,0.00000000e+00,9.99999881e-01
18,1.00000000e+00,5.00000566e-02,3.72529074e-09,5.00000566e-02,0.00000000e+00,9.99999881e-01
19,1.00000000e+00,5.00000566e-02,3.72529074e-09,5.00000566e-02,0.00000000e+00,9.99999881e-01
20,1.00000000e+00,5.00000566e-02,3.72529074e-09,5.00000566e-02,0.00000000e+00,9.99999881e-01
21,1.00000000e+00,5.00000566e-02,3.72529074e-09,5.00000566e-02,0.00000000e+00,9.99999881e-01
22,1.00000000e+00,5.00000566e-02,3.72529074e-09,5.00000566e-02,0.00000000e+00,9.99999881e-01
23,1.00000000e+00,5.00000566e-02,3.72529074e-09,5.00000566e-02,0.00000000e+00,9.99999881e-01
24,1.00000000e+00,5.00000566e-02,3.72529074e-09,5.00000566e-02,0.00000000e+00,9.99999881e-01
25,1.00000000e+00,5.00000566e-02,3.72529074e-09,5.00000566e-02,0.00000000e+00,9.99999881e-01
26,1.00000000e+00,5.00000566e-02,3.72529074e-09,5.00000566e-02,0.00000000e+00,9.99999881e-01
27,1.00000000e+00,5.00000566e-02,3.72529074e-09,5.00000566e-02,0.00000000e+00,9.99999881e-01
28,1.00000000e+00,5.00000566e-02,3.72529074e-09,5.00000566e-02,0.00000000e+00,9.99999881e-01
29,7.50249982e-01,6.78631409e-08,5.05619293e-15,6.78631409e-08,1.47355338e+06,9.99999881e-01
