step,mass,mass_err_pct,swiss_cheese,neg_viol,over_viol
1,7829.99,-8.10684e-05,399,0,0
2,7829.61,-0.00496388,15,0,0
3,7829.28,-0.00918567,45,0,0
4,7828.81,-0.0151411,42,0,0
5,7828.38,-0.02066,12,0,0
6,7827.4,-0.0332318,18,0,0
7,7826.64,-0.04296,12,0,0
8,7825.76,-0.0541973,36,0,0
9,7824.65,-0.0683594,24,0,0
10,7824.17,-0.0744395,9,0,0
11,7823.43,-0.0838871,12,0,0
12,7822.38,-0.0973569,36,0,0
13,7821.25,-0.1118,12,0,0
14,7820.3,-0.123829,33,0,0
15,7819.38,-0.135627,9,0,0
16,7818.13,-0.151536,12,0,0
17,7817.45,-0.160272,12,0,0
18,7817.24,-0.162904,18,0,0
19,7816.95,-0.166639,24,0,0
20,7816.24,-0.17575,21,0,0
21,7815.73,-0.182254,12,0,0
22,7815.3,-0.187692,12,0,0
23,7814.64,-0.196161,9,0,0
24,7814.46,-0.198455,18,0,0
25,7813.83,-0.206569,9,0,0
26,7813.62,-0.20925,18,0,0
27,7813.71,-0.208109,6,0,0
28,7813.52,-0.210422,15,0,0
29,7813.44,-0.21152,9,0,0
30,7813,-0.217114,6,0,0
31,7813.08,-0.216103,18,0,0
32,7812.57,-0.222658,6,0,0
33,7812.81,-0.219602,15,0,0
34,7813.09,-0.21601,6,0,0
35,7813.43,-0.211663,12,0,0
36,7814.09,-0.20317,6,0,0
37,7814.43,-0.198848,12,0,0
38,7814.73,-0.194976,12,0,0
39,7814.73,-0.195051,9,0,0
40,7814.72,-0.1951,9,0,0
41,7814.95,-0.192163,6,0,0
42,7814.84,-0.193629,15,0,0
43,7814.9,-0.192787,6,0,0
44,7815.36,-0.187031,15,0,0
45,7815.54,-0.18473,9,0,0
46,7815.69,-0.182803,18,0,0
47,7815.8,-0.1813,12,0,0
48,7815.89,-0.18024,9,0,0
49,7815.88,-0.180334,12,0,0
50,7816.2,-0.176299,9,0,0
51,7816.11,-0.177434,12,0,0
52,7816.19,-0.176405,12,0,0
53,7816.57,-0.171578,9,0,0
54,7816.83,-0.168198,9,0,0
55,7816.95,-0.166658,6,0,0
56,7816.89,-0.167394,6,0,0
57,7817.53,-0.159231,9,0,0
58,7817.58,-0.158607,12,0,0
59,7817.83,-0.155464,24,0,0
60,7818.16,-0.151242,0,0,0
61,7817.93,-0.154211,0,0,0
62,7818.41,-0.148037,15,0,0
63,7818.18,-0.150906,12,0,0
64,7818.38,-0.14843,12,0,0
65,7818.11,-0.151804,12,0,0
66,7818.36,-0.14863,9,0,0
67,7818.31,-0.149266,9,0,0
68,7818.32,-0.149116,6,0,0
69,7817.96,-0.153787,9,0,0
70,7818.2,-0.150663,9,0,0
71,7817.74,-0.156599,15,0,0
72,7817.91,-0.15436,15,0,0
73,7817.78,-0.156075,9,0,0
74,7817.7,-0.157148,3,0,0
75,7817.55,-0.159031,15,0,0
76,7817.46,-0.16021,6,0,0
77,7817.31,-0.162087,18,0,0
78,7817.29,-0.162361,9,0,0
79,7817.18,-0.163764,9,0,0
80,7817.19,-0.163665,6,0,0
81,7816.93,-0.166901,9,0,0
82,7817.06,-0.165249,15,0,0
83,7816.9,-0.167319,9,0,0
84,7816.95,-0.166645,9,0,0
85,7816.84,-0.168061,12,0,0
86,7816.9,-0.167269,9,0,0
87,7816.68,-0.170094,12,0,0
88,7816.8,-0.168529,12,0,0
89,7816.62,-0.170817,12,0,0
90,7816.87,-0.167749,6,0,0
91,7816.48,-0.172657,6,0,0
92,7816.65,-0.170524,15,0,0
93,7816.51,-0.172345,3,0,0
94,7816.75,-0.169177,12,0,0
95,7816.53,-0.171971,12,0,0
96,7816.65,-0.170555,9,0,0
97,7816.49,-0.172595,0,0,0
98,7816.49,-0.172545,0,0,0
99,7816.61,-0.170948,36,0,0
100,7816.96,-0.16649,21,0,0
101,7816.93,-0.166895,0,0,0
102,7817.25,-0.162779,18,0,0
103,7817.13,-0.164394,9,0,0
104,7817.42,-0.160634,12,0,0
105,7817.33,-0.1618,12,0,0
106,7817.67,-0.15746,9,0,0
