step,du_rel,dT_rel,u_max,ux_surf_max
2000,0.000000e+00,4.999999e+04,0.000000e+00,0.000000e+00
4000,0.000000e+00,8.673975e+03,0.000000e+00,0.000000e+00
6000,0.000000e+00,4.997305e+03,0.000000e+00,0.000000e+00
8000,0.000000e+00,3.526699e+03,0.000000e+00,0.000000e+00
10000,0.000000e+00,2.726818e+03,0.000000e+00,0.000000e+00
12000,0.000000e+00,2.220156e+03,0.000000e+00,0.000000e+00
14000,0.000000e+00,1.868898e+03,0.000000e+00,0.000000e+00
16000,0.000000e+00,1.610793e+03,0.000000e+00,0.000000e+00
18000,0.000000e+00,1.411271e+03,0.000000e+00,0.000000e+00
20000,0.000000e+00,1.252756e+03,0.000000e+00,0.000000e+00
22000,0.000000e+00,1.124581e+03,0.000000e+00,0.000000e+00
24000,0.000000e+00,1.019719e+03,0.000000e+00,0.000000e+00
26000,0.000000e+00,9.339805e+02,0.000000e+00,0.000000e+00
28000,0.000000e+00,8.635830e+02,0.000000e+00,0.000000e+00
30000,0.000000e+00,8.056406e+02,0.000000e+00,0.000000e+00
32000,0.000000e+00,7.588389e+02,0.000000e+00,0.000000e+00
34000,0.000000e+00,7.208896e+02,0.000000e+00,0.000000e+00
36000,0.000000e+00,6.910625e+02,0.000000e+00,0.000000e+00
38000,0.000000e+00,6.674736e+02,0.000000e+00,0.000000e+00
40000,0.000000e+00,6.493066e+02,0.000000e+00,0.000000e+00
42000,0.000000e+00,6.347314e+02,0.000000e+00,0.000000e+00
44000,0.000000e+00,6.198486e+02,0.000000e+00,0.000000e+00
46000,0.000000e+00,6.033535e+02,0.000000e+00,0.000000e+00
48000,0.000000e+00,5.865098e+02,0.000000e+00,0.000000e+00
50000,0.000000e+00,5.687031e+02,0.000000e+00,0.000000e+00
52000,0.000000e+00,5.504326e+02,0.000000e+00,0.000000e+00
54000,0.000000e+00,5.317061e+02,0.000000e+00,0.000000e+00
56000,0.000000e+00,5.133691e+02,0.000000e+00,0.000000e+00
58000,0.000000e+00,4.952588e+02,0.000000e+00,0.000000e+00
60000,0.000000e+00,4.773311e+02,0.000000e+00,0.000000e+00
62000,0.000000e+00,4.596074e+02,0.000000e+00,0.000000e+00
64000,0.000000e+00,4.421250e+02,0.000000e+00,0.000000e+00
66000,0.000000e+00,4.252891e+02,0.000000e+00,0.000000e+00
68000,0.000000e+00,4.089434e+02,0.000000e+00,0.000000e+00
70000,0.000000e+00,3.930449e+02,0.000000e+00,0.000000e+00
72000,0.000000e+00,3.777744e+02,0.000000e+00,0.000000e+00
74000,0.000000e+00,3.628594e+02,0.000000e+00,0.000000e+00
76000,0.000000e+00,3.483428e+02,0.000000e+00,0.000000e+00
78000,0.000000e+00,3.341152e+02,0.000000e+00,0.000000e+00
80000,0.000000e+00,3.209922e+02,0.000000e+00,0.000000e+00
82000,0.000000e+00,3.089863e+02,0.000000e+00,0.000000e+00
84000,0.000000e+00,2.956543e+02,0.000000e+00,0.000000e+00
86000,0.000000e+00,2.834941e+02,0.000000e+00,0.000000e+00
88000,0.000000e+00,2.722695e+02,0.000000e+00,0.000000e+00
90000,0.000000e+00,2.620371e+02,0.000000e+00,0.000000e+00
92000,0.000000e+00,2.510234e+02,0.000000e+00,0.000000e+00
94000,0.000000e+00,2.403965e+02,0.000000e+00,0.000000e+00
96000,0.000000e+00,2.305547e+02,0.000000e+00,0.000000e+00
98000,0.000000e+00,2.221875e+02,0.000000e+00,0.000000e+00
100000,0.000000e+00,2.136836e+02,0.000000e+00,0.000000e+00
102000,0.000000e+00,2.038105e+02,0.000000e+00,0.000000e+00
104000,0.000000e+00,1.951445e+02,0.000000e+00,0.000000e+00
106000,0.000000e+00,1.878809e+02,0.000000e+00,0.000000e+00
108000,0.000000e+00,1.802715e+02,0.000000e+00,0.000000e+00
110000,0.000000e+00,1.729688e+02,0.000000e+00,0.000000e+00
112000,0.000000e+00,1.662188e+02,0.000000e+00,0.000000e+00
114000,0.000000e+00,1.595195e+02,0.000000e+00,0.000000e+00
116000,0.000000e+00,1.529023e+02,0.000000e+00,0.000000e+00
118000,0.000000e+00,1.460078e+02,0.000000e+00,0.000000e+00
120000,0.000000e+00,1.398359e+02,0.000000e+00,0.000000e+00
122000,0.000000e+00,1.339238e+02,0.000000e+00,0.000000e+00
124000,0.000000e+00,1.287383e+02,0.000000e+00,0.000000e+00
126000,0.000000e+00,1.248965e+02,0.000000e+00,0.000000e+00
128000,0.000000e+00,1.196270e+02,0.000000e+00,0.000000e+00
130000,0.000000e+00,1.140938e+02,0.000000e+00,0.000000e+00
132000,0.000000e+00,1.094004e+02,0.000000e+00,0.000000e+00
134000,0.000000e+00,1.045605e+02,0.000000e+00,0.000000e+00
136000,0.000000e+00,1.001113e+02,0.000000e+00,0.000000e+00
138000,0.000000e+00,9.582812e+01,0.000000e+00,0.000000e+00
140000,0.000000e+00,9.351562e+01,0.000000e+00,0.000000e+00
142000,0.000000e+00,8.912891e+01,0.000000e+00,0.000000e+00
144000,0.000000e+00,8.536914e+01,0.000000e+00,0.000000e+00
146000,0.000000e+00,8.158008e+01,0.000000e+00,0.000000e+00
148000,0.000000e+00,7.839062e+01,0.000000e+00,0.000000e+00
150000,0.000000e+00,7.493750e+01,0.000000e+00,0.000000e+00
152000,0.000000e+00,7.186328e+01,0.000000e+00,0.000000e+00
154000,0.000000e+00,6.902539e+01,0.000000e+00,0.000000e+00
156000,0.000000e+00,6.612891e+01,0.000000e+00,0.000000e+00
158000,0.000000e+00,6.341211e+01,0.000000e+00,0.000000e+00
160000,0.000000e+00,6.258594e+01,0.000000e+00,0.000000e+00
162000,0.000000e+00,5.896484e+01,0.000000e+00,0.000000e+00
164000,0.000000e+00,5.612109e+01,0.000000e+00,0.000000e+00
166000,0.000000e+00,5.354297e+01,0.000000e+00,0.000000e+00
168000,0.000000e+00,5.111523e+01,0.000000e+00,0.000000e+00
170000,0.000000e+00,4.896289e+01,0.000000e+00,0.000000e+00
172000,0.000000e+00,4.720312e+01,0.000000e+00,0.000000e+00
174000,0.000000e+00,4.525195e+01,0.000000e+00,0.000000e+00
176000,0.000000e+00,4.304883e+01,0.000000e+00,0.000000e+00
178000,0.000000e+00,4.111523e+01,0.000000e+00,0.000000e+00
180000,0.000000e+00,3.939453e+01,0.000000e+00,0.000000e+00
182000,0.000000e+00,3.760352e+01,0.000000e+00,0.000000e+00
184000,0.000000e+00,3.624805e+01,0.000000e+00,0.000000e+00
186000,0.000000e+00,3.455273e+01,0.000000e+00,0.000000e+00
188000,0.000000e+00,3.289062e+01,0.000000e+00,0.000000e+00
190000,0.000000e+00,3.200195e+01,0.000000e+00,0.000000e+00
192000,0.000000e+00,3.162109e+01,0.000000e+00,0.000000e+00
194000,0.000000e+00,3.145898e+01,0.000000e+00,0.000000e+00
196000,0.000000e+00,3.135742e+01,0.000000e+00,0.000000e+00
