ix,iy,x,y,T,ux,uy,rho
0,0,0,0,1,0,0,nan
1,0,0.010101,0,50000,0,0,nan
2,0,0.020202,0,50000,0,0,nan
3,0,0.030303,0,50000,0,0,nan
4,0,0.040404,0,50000,0,0,nan
5,0,0.050505,0,50000,0,0,nan
6,0,0.0606061,0,50000,0,0,nan
7,0,0.0707071,0,50000,0,0,nan
8,0,0.0808081,0,50000,0,0,nan
9,0,0.0909091,0,50000,0,0,nan
10,0,0.10101,0,50000,0,0,nan
11,0,0.111111,0,50000,0,0,nan
12,0,0.121212,0,50000,0,0,nan
13,0,0.131313,0,50000,0,0,nan
14,0,0.141414,0,50000,0,0,nan
15,0,0.151515,0,50000,0,0,nan
16,0,0.161616,0,50000,0,0,nan
17,0,0.171717,0,50000,0,0,nan
18,0,0.181818,0,50000,0,0,nan
19,0,0.191919,0,50000,0,0,nan
20,0,0.20202,0,50000,0,0,nan
21,0,0.212121,0,50000,0,0,nan
22,0,0.222222,0,50000,0,0,nan
23,0,0.232323,0,50000,0,0,nan
24,0,0.242424,0,50000,0,0,nan
25,0,0.252525,0,50000,0,0,nan
26,0,0.262626,0,50000,0,0,nan
27,0,0.272727,0,50000,0,0,nan
28,0,0.282828,0,50000,0,0,nan
29,0,0.292929,0,50000,0,0,nan
30,0,0.30303,0,50000,0,0,nan
31,0,0.313131,0,50000,0,0,nan
32,0,0.323232,0,50000,0,0,nan
33,0,0.333333,0,50000,0,0,nan
34,0,0.343434,0,50000,0,0,nan
35,0,0.353535,0,50000,0,0,nan
36,0,0.363636,0,50000,0,0,nan
37,0,0.373737,0,50000,0,0,nan
38,0,0.383838,0,50000,0,0,nan
39,0,0.393939,0,50000,0,0,nan
40,0,0.40404,0,50000,0,0,nan
41,0,0.414141,0,50000,0,0,nan
42,0,0.424242,0,50000,0,0,nan
43,0,0.434343,0,50000,0,0,nan
44,0,0.444444,0,50000,0,0,nan
45,0,0.454545,0,50000,0,0,nan
46,0,0.464646,0,50000,0,0,nan
47,0,0.474747,0,50000,0,0,nan
48,0,0.484848,0,50000,0,0,nan
49,0,0.494949,0,50000,0,0,nan
50,0,0.50505,0,50000,0,0,nan
51,0,0.515152,0,50000,0,0,nan
52,0,0.525253,0,50000,0,0,nan
53,0,0.535354,0,50000,0,0,nan
54,0,0.545455,0,50000,0,0,nan
55,0,0.555556,0,50000,0,0,nan
56,0,0.565657,0,50000,0,0,nan
57,0,0.575758,0,50000,0,0,nan
58,0,0.585859,0,50000,0,0,nan
59,0,0.59596,0,50000,0,0,nan
60,0,0.606061,0,50000,0,0,nan
61,0,0.616162,0,50000,0,0,nan
62,0,0.626263,0,50000,0,0,nan
63,0,0.636364,0,50000,0,0,nan
64,0,0.646465,0,50000,0,0,nan
65,0,0.656566,0,50000,0,0,nan
66,0,0.666667,0,50000,0,0,nan
67,0,0.676768,0,50000,0,0,nan
68,0,0.686869,0,50000,0,0,nan
69,0,0.69697,0,50000,0,0,nan
70,0,0.707071,0,50000,0,0,nan
71,0,0.717172,0,50000,0,0,nan
72,0,0.727273,0,50000,0,0,nan
73,0,0.737374,0,50000,0,0,nan
74,0,0.747475,0,50000,0,0,nan
75,0,0.757576,0,50000,0,0,nan
76,0,0.767677,0,50000,0,0,nan
77,0,0.777778,0,50000,0,0,nan
78,0,0.787879,0,50000,0,0,nan
79,0,0.79798,0,50000,0,0,nan
80,0,0.808081,0,50000,0,0,nan
81,0,0.818182,0,50000,0,0,nan
82,0,0.828283,0,50000,0,0,nan
83,0,0.838384,0,50000,0,0,nan
84,0,0.848485,0,50000,0,0,nan
85,0,0.858586,0,50000,0,0,nan
86,0,0.868687,0,50000,0,0,nan
87,0,0.878788,0,50000,0,0,nan
88,0,0.888889,0,50000,0,0,nan
89,0,0.89899,0,50000,0,0,nan
90,0,0.909091,0,50000,0,0,nan
91,0,0.919192,0,50000,0,0,nan
92,0,0.929293,0,50000,0,0,nan
93,0,0.939394,0,50000,0,0,nan
94,0,0.949495,0,50000,0,0,nan
95,0,0.959596,0,50000,0,0,nan
96,0,0.969697,0,50000,0,0,nan
97,0,0.979798,0,50000,0,0,nan
98,0,0.989899,0,50000,0,0,nan
99,0,1,0,0,0,0,nan
0,1,0,0.010101,1,0,0,nan
1,1,0.010101,0.010101,25000.4,0,0,nan
2,1,0.020202,0.010101,42098.1,0,0,nan
3,1,0.030303,0.010101,43127.4,0,0,nan
4,1,0.040404,0.010101,45660.8,0,0,nan
5,1,0.050505,0.010101,46166.3,0,0,nan
6,1,0.0606061,0.010101,47051.2,0,0,nan
7,1,0.0707071,0.010101,47354.9,0,0,nan
8,1,0.0808081,0.010101,47779.2,0,0,nan
9,1,0.0909091,0.010101,47980.9,0,0,nan
10,1,0.10101,0.010101,48223.5,0,0,nan
11,1,0.111111,0.010101,48366,0,0,nan
12,1,0.121212,0.010101,48521.3,0,0,nan
13,1,0.131313,0.010101,48626.4,0,0,nan
14,1,0.141414,0.010101,48733.9,0,0,nan
15,1,0.151515,0.010101,48814.1,0,0,nan
16,1,0.161616,0.010101,48892.8,0,0,nan
17,1,0.171717,0.010101,48955.6,0,0,nan
18,1,0.181818,0.010101,49015.6,0,0,nan
19,1,0.191919,0.010101,49065.8,0,0,nan
20,1,0.20202,0.010101,49113,0,0,nan
21,1,0.212121,0.010101,49153.7,0,0,nan
22,1,0.222222,0.010101,49191.7,0,0,nan
23,1,0.232323,0.010101,49225.2,0,0,nan
24,1,0.242424,0.010101,49256.3,0,0,nan
25,1,0.252525,0.010101,49284.2,0,0,nan
26,1,0.262626,0.010101,49310,0,0,nan
27,1,0.272727,0.010101,49333.3,0,0,nan
28,1,0.282828,0.010101,49354.9,0,0,nan
29,1,0.292929,0.010101,49374.5,0,0,nan
30,1,0.30303,0.010101,49392.6,0,0,nan
31,1,0.313131,0.010101,49409.1,0,0,nan
32,1,0.323232,0.010101,49424.3,0,0,nan
33,1,0.333333,0.010101,49438.2,0,0,nan
34,1,0.343434,0.010101,49451,0,0,nan
35,1,0.353535,0.010101,49462.6,0,0,nan
36,1,0.363636,0.010101,49473.3,0,0,nan
37,1,0.373737,0.010101,49482.9,0,0,nan
38,1,0.383838,0.010101,49491.7,0,0,nan
39,1,0.393939,0.010101,49499.6,0,0,nan
40,1,0.40404,0.010101,49506.7,0,0,nan
41,1,0.414141,0.010101,49512.9,0,0,nan
42,1,0.424242,0.010101,49518.4,0,0,nan
43,1,0.434343,0.010101,49523.2,0,0,nan
44,1,0.444444,0.010101,49527.2,0,0,nan
45,1,0.454545,0.010101,49530.6,0,0,nan
46,1,0.464646,0.010101,49533.2,0,0,nan
47,1,0.474747,0.010101,49535.2,0,0,nan
48,1,0.484848,0.010101,49536.6,0,0,nan
49,1,0.494949,0.010101,49537.3,0,0,nan
50,1,0.50505,0.010101,49537.3,0,0,nan
51,1,0.515152,0.010101,49536.7,0,0,nan
52,1,0.525253,0.010101,49535.4,0,0,nan
53,1,0.535354,0.010101,49533.4,0,0,nan
54,1,0.545455,0.010101,49530.8,0,0,nan
55,1,0.555556,0.010101,49527.5,0,0,nan
56,1,0.565657,0.010101,49523.5,0,0,nan
57,1,0.575758,0.010101,49518.8,0,0,nan
58,1,0.585859,0.010101,49513.3,0,0,nan
59,1,0.59596,0.010101,49507.1,0,0,nan
60,1,0.606061,0.010101,49500.1,0,0,nan
61,1,0.616162,0.010101,49492.2,0,0,nan
62,1,0.626263,0.010101,49483.5,0,0,nan
63,1,0.636364,0.010101,49473.9,0,0,nan
64,1,0.646465,0.010101,49463.3,0,0,nan
65,1,0.656566,0.010101,49451.6,0,0,nan
66,1,0.666667,0.010101,49438.9,0,0,nan
67,1,0.676768,0.010101,49425,0,0,nan
68,1,0.686869,0.010101,49409.8,0,0,nan
69,1,0.69697,0.010101,49393.3,0,0,nan
70,1,0.707071,0.010101,49375.2,0,0,nan
71,1,0.717172,0.010101,49355.6,0,0,nan
72,1,0.727273,0.010101,49334.1,0,0,nan
73,1,0.737374,0.010101,49310.8,0,0,nan
74,1,0.747475,0.010101,49284.9,0,0,nan
75,1,0.757576,0.010101,49257.1,0,0,nan
76,1,0.767677,0.010101,49225.9,0,0,nan
77,1,0.777778,0.010101,49192.4,0,0,nan
78,1,0.787879,0.010101,49154.4,0,0,nan
