# Marangoni 1D Return Flow — TRT + calibrated Inamuro BC
# tau=0.8 nu=0.1 tau_s=8.33333e-06 A_TRUE=0.0025 a_body=-1.01972e-07 delta_f=1.11667e-05 CE_FACTOR=0.375 H_eff=120 NY=120 NX=10 steps=300000 L2=0.0098928 R2=0.999915 sigma_actual=8.34805e-06
y_norm,u_lbm,u_analytical
4.1666666667e-03,-2.8195299251e-07,-2.0703126465e-05
1.2500000000e-02,-4.1384832002e-05,-6.1328129341e-05
2.0833333333e-02,-8.1461395894e-05,-1.0091146548e-04
2.9166666667e-02,-1.2050231453e-04,-1.3945313487e-04
3.7500000000e-02,-1.5852997603e-04,-1.7695313752e-04
4.5833333333e-02,-1.9552197773e-04,-2.1341147344e-04
5.4166666667e-02,-2.3148395121e-04,-2.4882814261e-04
6.2500000000e-02,-2.6641218574e-04,-2.8320314505e-04
7.0833333333e-02,-3.0031974893e-04,-3.1653648074e-04
7.9166666667e-02,-3.3319712384e-04,-3.4882814969e-04
8.7500000000e-02,-3.6503525916e-04,-3.8007815190e-04
9.5833333333e-02,-3.9583959733e-04,-4.1028648737e-04
1.0416666667e-01,-4.2560824659e-04,-4.3945315610e-04
1.1250000000e-01,-4.5434132335e-04,-4.6757815810e-04
1.2083333333e-01,-4.8202765174e-04,-4.9466149335e-04
1.2916666667e-01,-5.0868757535e-04,-5.2070316186e-04
1.3750000000e-01,-5.3429143736e-04,-5.4570316363e-04
1.4583333333e-01,-5.5884843459e-04,-5.6966149865e-04
1.5416666667e-01,-5.8236246696e-04,-5.9257816694e-04
1.6250000000e-01,-6.0484634014e-04,-6.1445316849e-04
1.7083333333e-01,-6.2628352316e-04,-6.3528650330e-04
1.7916666667e-01,-6.4667739207e-04,-6.5507817137e-04
1.8750000000e-01,-6.6603219602e-04,-6.7382817269e-04
1.9583333333e-01,-6.8434182322e-04,-6.9153650728e-04
2.0416666667e-01,-7.0160854375e-04,-7.0820317513e-04
2.1250000000e-01,-7.1783218300e-04,-7.2382817623e-04
2.2083333333e-01,-7.3300144868e-04,-7.3841151060e-04
2.2916666667e-01,-7.4713886715e-04,-7.5195317822e-04
2.3750000000e-01,-7.6022389112e-04,-7.6445317911e-04
2.4583333333e-01,-7.7226781286e-04,-7.7591151325e-04
2.5416666667e-01,-7.8324426431e-04,-7.8632818066e-04
2.6250000000e-01,-7.9317216296e-04,-7.9570318132e-04
2.7083333333e-01,-8.0206448911e-04,-8.0403651524e-04
2.7916666667e-01,-8.0990244169e-04,-8.1132818243e-04
2.8750000000e-01,-8.1669364590e-04,-8.1757818287e-04
2.9583333333e-01,-8.2242884673e-04,-8.2278651657e-04
3.0416666667e-01,-8.2712073345e-04,-8.2695318353e-04
3.1250000000e-01,-8.3076022565e-04,-8.3007818375e-04
3.2083333333e-01,-8.3332514623e-04,-8.3216151723e-04
3.2916666667e-01,-8.3483773051e-04,-8.3320318397e-04
3.3750000000e-01,-8.3531445125e-04,-8.3320318397e-04
3.4583333333e-01,-8.3472399274e-04,-8.3216151723e-04
3.5416666667e-01,-8.3308870671e-04,-8.3007818375e-04
3.6250000000e-01,-8.3038402954e-04,-8.2695318353e-04
3.7083333333e-01,-8.2662154455e-04,-8.2278651657e-04
3.7916666667e-01,-8.2181405742e-04,-8.1757818287e-04
3.8750000000e-01,-8.1594486255e-04,-8.1132818243e-04
3.9583333333e-01,-8.0901029287e-04,-8.0403651524e-04
4.0416666667e-01,-8.0103817163e-04,-7.9570318132e-04
4.1250000000e-01,-7.9201179324e-04,-7.8632818066e-04
4.2083333333e-01,-7.8194786329e-04,-7.7591151325e-04
4.2916666667e-01,-7.7081489144e-04,-7.6445317911e-04
4.3750000000e-01,-7.5861648656e-04,-7.5195317822e-04
4.4583333333e-01,-7.4538239278e-04,-7.3841151060e-04
4.5416666667e-01,-7.3109596269e-04,-7.2382817623e-04
4.6250000000e-01,-7.1574596222e-04,-7.0820317513e-04
4.7083333333e-01,-6.9935846841e-04,-6.9153650728e-04
4.7916666667e-01,-6.8190187449e-04,-6.7382817269e-04
4.8750000000e-01,-6.6338723991e-04,-6.5507817137e-04
4.9583333333e-01,-6.4384448342e-04,-6.3528650330e-04
5.0416666667e-01,-6.2321947189e-04,-6.1445316849e-04
5.1250000000e-01,-6.0154940002e-04,-5.9257816694e-04
5.2083333333e-01,-5.7882897090e-04,-5.6966149865e-04
5.2916666667e-01,-5.5506546050e-04,-5.4570316363e-04
5.3750000000e-01,-5.3023832152e-04,-5.2070316186e-04
5.4583333333e-01,-5.0436251331e-04,-4.9466149335e-04
5.5416666667e-01,-4.7742688912e-04,-4.6757815810e-04
5.6250000000e-01,-4.4943328248e-04,-4.3945315610e-04
5.7083333333e-01,-4.2038728134e-04,-4.1028648737e-04
5.7916666667e-01,-3.9028702304e-04,-3.8007815190e-04
5.8750000000e-01,-3.5911024315e-04,-3.4882814969e-04
5.9583333333e-01,-3.2687536441e-04,-3.1653648074e-04
6.0416666667e-01,-2.9355273000e-04,-2.8320314505e-04
6.1250000000e-01,-2.5917770108e-04,-2.4882814261e-04
6.2083333333e-01,-2.2375961998e-04,-2.1341147344e-04
6.2916666667e-01,-1.8727238057e-04,-1.7695313752e-04
6.3750000000e-01,-1.4974015357e-04,-1.3945313487e-04
6.4583333333e-01,-1.1113137589e-04,-1.0091146548e-04
6.5416666667e-01,-7.1464586654e-05,-6.1328129341e-05
6.6250000000e-01,-3.0730527214e-05,-2.0703126465e-05
6.7083333333e-01,1.1050347894e-05,2.0963543150e-05
6.7916666667e-01,5.3915278841e-05,6.3671879507e-05
6.8750000000e-01,9.7849362646e-05,1.0742188260e-04
6.9583333333e-01,1.4285260113e-04,1.5221355244e-04
7.0416666667e-01,1.8891382206e-04,1.9804688902e-04
7.1250000000e-01,2.3604981834e-04,2.4492189234e-04
7.2083333333e-01,2.8426045901e-04,2.9283856239e-04
7.2916666667e-01,3.3353103208e-04,3.4179689919e-04
7.3750000000e-01,3.8384838263e-04,3.9179690273e-04
7.4583333333e-01,4.3523302884e-04,4.4283857301e-04
7.5416666667e-01,4.8767193221e-04,4.9492191003e-04
7.6250000000e-01,5.4117251420e-04,5.4804691379e-04
7.7083333333e-01,5.9574039187e-04,6.0221358429e-04
7.7916666667e-01,6.5137556521e-04,6.5742192153e-04
7.8750000000e-01,7.0805568248e-04,7.1367192551e-04
7.9583333333e-01,7.6577893924e-04,7.7096359624e-04
8.0416666667e-01,8.2454702351e-04,8.2929693370e-04
8.1250000000e-01,8.8438991224e-04,8.8867193790e-04
8.2083333333e-01,9.4530382194e-04,9.4908860884e-04
8.2916666667e-01,1.0072925361e-03,1.0105469465e-03
8.3750000000e-01,1.0703448206e-03,1.0730469510e-03
8.4583333333e-01,1.1344493832e-03,1.1365886221e-03
8.5416666667e-01,1.1996065732e-03,1.2011719600e-03
8.6250000000e-01,1.2658156920e-03,1.2667969647e-03
8.7083333333e-01,1.3330999063e-03,1.3334636360e-03
8.7916666667e-01,1.4014439657e-03,1.4011719742e-03
8.8750000000e-01,1.4708553208e-03,1.4699219790e-03
8.9583333333e-01,1.5413300134e-03,1.5397136506e-03
9.0416666667e-01,1.6128754942e-03,1.6105469890e-03
9.1250000000e-01,1.6854816349e-03,1.6824219941e-03
9.2083333333e-01,1.7591285286e-03,1.7553386659e-03
9.2916666667e-01,1.8338464433e-03,1.8292970045e-03
9.3750000000e-01,1.9096297910e-03,1.9042970098e-03
9.4583333333e-01,1.9864731003e-03,1.9803386818e-03
9.5416666667e-01,2.0643596072e-03,2.0574220206e-03
9.6250000000e-01,2.1432961803e-03,2.1355470262e-03
9.7083333333e-01,2.2233042400e-03,2.2147136984e-03
