k,z_um,fill,temperature,liquid_frac,curvature,ux,uy,uz,vmag
0,0.00,1.00000000e+00,3.00000488e+02,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
1,3.75,1.00000000e+00,3.00000488e+02,0.00000000e+00,0.00000000e+00,-3.42808789e-13,-2.00472980e-14,1.47995834e-11,1.48035664e-11
2,7.50,1.00000000e+00,3.00000488e+02,0.00000000e+00,0.00000000e+00,-2.83335123e-13,-2.07155409e-14,1.47046923e-11,1.47074367e-11
3,11.25,1.00000000e+00,3.00000488e+02,0.00000000e+00,0.00000000e+00,-1.20283788e-13,-1.87108104e-14,1.48055977e-11,1.48060973e-11
4,15.00,1.00000000e+00,3.00000458e+02,0.00000000e+00,0.00000000e+00,6.81608090e-14,-3.14074328e-14,1.50662122e-11,1.50663995e-11
5,18.75,1.00000000e+00,3.00000458e+02,0.00000000e+00,0.00000000e+00,2.73311484e-13,-4.34358123e-14,1.55286357e-11,1.55311007e-11
6,22.50,1.00000000e+00,3.00000488e+02,0.00000000e+00,0.00000000e+00,4.34358116e-13,-3.20756740e-14,1.62276182e-11,1.62334625e-11
7,26.25,1.00000000e+00,3.00000488e+02,0.00000000e+00,0.00000000e+00,5.97409437e-13,-2.47250002e-14,1.71344258e-11,1.71448550e-11
8,30.00,1.00000000e+00,3.00000519e+02,0.00000000e+00,0.00000000e+00,7.07669600e-13,-1.26966215e-14,1.83018461e-11,1.83155262e-11
9,33.75,1.00000000e+00,3.00000519e+02,0.00000000e+00,0.00000000e+00,7.46427713e-13,1.47013512e-14,1.96884505e-11,1.97026007e-11
10,37.50,1.00000000e+00,3.00000488e+02,0.00000000e+00,0.00000000e+00,7.35067552e-13,6.01418939e-14,2.12501353e-11,2.12629307e-11
11,41.25,1.00000000e+00,3.00000549e+02,0.00000000e+00,0.00000000e+00,6.44854721e-13,1.29639192e-13,2.29120559e-11,2.29214946e-11
12,45.00,1.00000000e+00,3.00000641e+02,0.00000000e+00,0.00000000e+00,5.57314882e-13,2.03145945e-13,2.45686319e-11,2.45757911e-11
13,48.75,1.00000000e+00,3.00000671e+02,0.00000000e+00,0.00000000e+00,4.08964854e-13,2.70638519e-13,2.61216292e-11,2.61262314e-11
14,52.50,1.00000000e+00,3.00000732e+02,0.00000000e+00,0.00000000e+00,2.71974988e-13,3.45481754e-13,2.74474228e-11,2.74509443e-11
15,56.25,1.00000000e+00,3.00000732e+02,0.00000000e+00,0.00000000e+00,1.28970944e-13,3.88249329e-13,2.85259680e-11,2.85289015e-11
16,60.00,1.00000000e+00,3.00000885e+02,0.00000000e+00,0.00000000e+00,0.00000000e+00,3.96936498e-13,2.93726328e-11,2.93753147e-11
17,63.75,1.00000000e+00,3.00001160e+02,0.00000000e+00,0.00000000e+00,-1.38994597e-13,3.64192563e-13,2.99847439e-11,2.99872766e-11
18,67.50,1.00000000e+00,3.00001556e+02,0.00000000e+00,0.00000000e+00,-2.59946632e-13,2.99372967e-13,3.04391477e-11,3.04417290e-11
19,71.25,1.00000000e+00,3.00002228e+02,0.00000000e+00,0.00000000e+00,-3.54837172e-13,1.69065540e-13,3.07959908e-11,3.07984992e-11
20,75.00,1.00000000e+00,3.00003296e+02,0.00000000e+00,0.00000000e+00,-4.59751378e-13,2.73979736e-14,3.11127374e-11,3.11161479e-11
