ix,iy,x,y,T_K,theta,ux_star,uy_star
0,0,0,0,305,1,0,0
1,0,0.0208333,0,304.995,0.999524,0,0
2,0,0.0416667,0,304.989,0.998947,0,0
3,0,0.0625,0,304.968,0.996808,0,0
4,0,0.0833333,0,304.926,0.992587,0,0
5,0,0.104167,0,304.863,0.986285,0,0
6,0,0.125,0,304.781,0.978067,0,0
7,0,0.145833,0,304.682,0.968155,0,0
8,0,0.166667,0,304.567,0.956729,0,0
9,0,0.1875,0,304.44,0.94397,0,0
10,0,0.208333,0,304.3,0.930038,0,0
11,0,0.229167,0,304.151,0.915057,0,0
12,0,0.25,0,303.991,0.899139,0,0
13,0,0.270833,0,303.824,0.882373,0,0
14,0,0.291667,0,303.648,0.86485,0,0
15,0,0.3125,0,303.466,0.846613,0,0
16,0,0.333333,0,303.277,0.827731,0,0
17,0,0.354167,0,303.082,0.808249,0,0
18,0,0.375,0,302.882,0.788171,0,0
19,0,0.395833,0,302.675,0.767523,0,0
20,0,0.416667,0,302.463,0.746313,0,0
21,0,0.4375,0,302.245,0.724536,0,0
22,0,0.458333,0,302.022,0.702185,0,0
23,0,0.479167,0,301.792,0.679242,0,0
24,0,0.5,0,301.557,0.655692,0,0
25,0,0.520833,0,301.315,0.6315,0,0
26,0,0.541667,0,301.066,0.606647,0,0
27,0,0.5625,0,300.811,0.581119,0,0
28,0,0.583333,0,300.549,0.554892,0,0
29,0,0.604167,0,300.279,0.52793,0,0
30,0,0.625,0,300.002,0.500232,0,0
31,0,0.645833,0,299.718,0.471799,0,0
32,0,0.666667,0,299.426,0.442636,0,0
33,0,0.6875,0,299.128,0.412781,0,0
34,0,0.708333,0,298.823,0.382275,0,0
35,0,0.729167,0,298.512,0.351202,0,0
36,0,0.75,0,298.197,0.319659,0,0
37,0,0.770833,0,297.878,0.287766,0,0
38,0,0.791667,0,297.557,0.255701,0,0
39,0,0.8125,0,297.237,0.223685,0,0
40,0,0.833333,0,296.92,0.191959,0,0
41,0,0.854167,0,296.608,0.160834,0,0
42,0,0.875,0,296.307,0.130658,0,0
43,0,0.895833,0,296.018,0.101837,0,0
44,0,0.916667,0,295.748,0.0748047,0,0
45,0,0.9375,0,295.501,0.0500732,0,0
46,0,0.958333,0,295.283,0.0282776,0,0
47,0,0.979167,0,295.106,0.0106415,0,0
48,0,1,0,295,0,0,0
0,1,0,0.0208333,305,1,0,0
1,1,0.0208333,0.0208333,304.981,0.99808,0.00398925,-0.00833325
2,1,0.0416667,0.0208333,304.96,0.995981,0.0165571,-0.0184766
3,1,0.0625,0.0208333,304.921,0.992065,0.0423792,-0.027595
4,1,0.0833333,0.0208333,304.863,0.986282,0.0806362,-0.0345173
5,1,0.104167,0.0208333,304.788,0.978781,0.12893,-0.0394206
6,1,0.125,0.0208333,304.697,0.969724,0.184598,-0.0426458
7,1,0.145833,0.0208333,304.593,0.959271,0.245277,-0.0445178
8,1,0.166667,0.0208333,304.476,0.947565,0.308942,-0.0452984
9,1,0.1875,0.0208333,304.347,0.934744,0.373904,-0.0451973
10,1,0.208333,0.0208333,304.209,0.920911,0.43876,-0.0443738
11,1,0.229167,0.0208333,304.062,0.906177,0.502355,-0.0429719
12,1,0.25,0.0208333,303.906,0.890622,0.563743,-0.041102
13,1,0.270833,0.0208333,303.743,0.874307,0.622172,-0.0388638
14,1,0.291667,0.0208333,303.573,0.857303,0.677028,-0.0363388
15,1,0.3125,0.0208333,303.396,0.839648,0.727849,-0.0335945
16,1,0.333333,0.0208333,303.214,0.821393,0.774278,-0.0306884
17,1,0.354167,0.0208333,303.026,0.802557,0.816072,-0.0276794
18,1,0.375,0.0208333,302.832,0.783154,0.853063,-0.0246002
19,1,0.395833,0.0208333,302.632,0.76319,0.88515,-0.0214927
20,1,0.416667,0.0208333,302.427,0.74267,0.912285,-0.0183736
21,1,0.4375,0.0208333,302.216,0.721585,0.934473,-0.0152701
22,1,0.458333,0.0208333,301.999,0.699927,0.95174,-0.0121837
23,1,0.479167,0.0208333,301.777,0.677667,0.964137,-0.00912864
24,1,0.5,0.0208333,301.548,0.654797,0.971721,-0.00609631
25,1,0.520833,0.0208333,301.313,0.631287,0.974541,-0.00308989
26,1,0.541667,0.0208333,301.071,0.607114,0.972648,-9.42527e-05
27,1,0.5625,0.0208333,300.823,0.582254,0.966072,0.00290387
28,1,0.583333,0.0208333,300.567,0.556692,0.954824,0.0059131
29,1,0.604167,0.0208333,300.304,0.530402,0.938889,0.00895889
30,1,0.625,0.0208333,300.034,0.503378,0.918223,0.0120554
31,1,0.645833,0.0208333,299.756,0.475629,0.89276,0.0152253
32,1,0.666667,0.0208333,299.471,0.44715,0.862405,0.0184784
33,1,0.6875,0.0208333,299.18,0.417981,0.827064,0.0218176
34,1,0.708333,0.0208333,298.882,0.388177,0.786625,0.0252595
35,1,0.729167,0.0208333,298.578,0.357791,0.741006,0.0287832
36,1,0.75,0.0208333,298.269,0.326926,0.69015,0.0323654
37,1,0.770833,0.0208333,297.957,0.295697,0.63408,0.0359625
38,1,0.791667,0.0208333,297.643,0.264255,0.572948,0.0394932
39,1,0.8125,0.0208333,297.328,0.232785,0.507078,0.0428505
40,1,0.833333,0.0208333,297.015,0.201508,0.437056,0.0458602
41,1,0.854167,0.0208333,296.707,0.170676,0.363823,0.0482956
42,1,0.875,0.0208333,296.406,0.140576,0.288805,0.0498548
43,1,0.895833,0.0208333,296.115,0.11153,0.214031,0.050157
44,1,0.916667,0.0208333,295.839,0.0838867,0.142342,0.0487556
45,1,0.9375,0.0208333,295.58,0.0580109,0.0775666,0.0452682
46,1,0.958333,0.0208333,295.343,0.0342712,0.024481,0.0400058
47,1,0.979167,0.0208333,295.132,0.0131897,-0.010481,0.037408
48,1,1,0.0208333,295,0,0,0
0,2,0,0.0416667,305,1,0,0
1,2,0.0208333,0.0416667,304.956,0.995575,0.0116426,-0.0210147
2,2,0.0416667,0.0416667,304.913,0.991333,0.0421793,-0.0485703
3,2,0.0625,0.0416667,304.858,0.985828,0.0929894,-0.074296
4,2,0.0833333,0.0416667,304.789,0.97887,0.162127,-0.0956033
5,2,0.104167,0.0416667,304.705,0.970465,0.246595,-0.111859
6,2,0.125,0.0416667,304.607,0.960742,0.342965,-0.123367
7,2,0.145833,0.0416667,304.498,0.949826,0.447843,-0.13073
8,2,0.166667,0.0416667,304.378,0.937848,0.558118,-0.13456
9,2,0.1875,0.0416667,304.249,0.924924,0.671045,-0.135427
10,2,0.208333,0.0416667,304.111,0.911133,0.784258,-0.133822
11,2,0.229167,0.0416667,303.966,0.896567,0.895749,-0.130173
12,2,0.25,0.0416667,303.813,0.881296,1.00382,-0.124853
13,2,0.270833,0.0416667,303.654,0.865363,1.10711,-0.118185
14,2,0.291667,0.0416667,303.488,0.848822,1.20446,-0.110451
15,2,0.3125,0.0416667,303.317,0.831702,1.29498,-0.101896
16,2,0.333333,0.0416667,303.14,0.814035,1.37799,-0.0927329
17,2,0.354167,0.0416667,302.958,0.795831,1.45294,-0.0831336
18,2,0.375,0.0416667,302.771,0.777103,1.51947,-0.0732556
19,2,0.395833,0.0416667,302.578,0.75784,1.57732,-0.0632179
20,2,0.416667,0.0416667,302.38,0.738049,1.62635,-0.0531084
21,2,0.4375,0.0416667,302.177,0.717715,1.66648,-0.0430063
22,2,0.458333,0.0416667,301.968,0.696817,1.6977,-0.0329599
23,2,0.479167,0.0416667,301.753,0.675336,1.72005,-0.0229899
24,2,0.5,0.0416667,301.532,0.653244,1.73356,-0.0131097
25,2,0.520833,0.0416667,301.305,0.630524,1.73831,-0.00331051
26,2,0.541667,0.0416667,301.071,0.607147,1.73433,0.00642857
27,2,0.5625,0.0416667,300.831,0.583078,1.72168,0.0161408
28,2,0.583333,0.0416667,300.583,0.558307,1.70035,0.0258755
29,2,0.604167,0.0416667,300.328,0.532806,1.67035,0.0356645
30,2,0.625,0.0416667,300.066,0.506567,1.63161,0.0455677
31,2,0.645833,0.0416667,299.796,0.479593,1.58407,0.0556242
32,2,0.666667,0.0416667,299.519,0.451886,1.52763,0.0658656
33,2,0.6875,0.0416667,299.235,0.423468,1.4622,0.0763009
34,2,0.708333,0.0416667,298.944,0.394388,1.38772,0.0869106
35,2,0.729167,0.0416667,298.647,0.364691,1.30417,0.0976347
36,2,0.75,0.0416667,298.345,0.33447,1.21164,0.10836
37,2,0.770833,0.0416667,298.038,0.303818,1.11038,0.118887
38,2,0.791667,0.0416667,297.729,0.272879,1.00087,0.128922
39,2,0.8125,0.0416667,297.418,0.241806,0.883959,0.138035
40,2,0.833333,0.0416667,297.108,0.210791,0.760937,0.145643
41,2,0.854167,0.0416667,296.801,0.180054,0.633709,0.150953
42,2,0.875,0.0416667,296.499,0.149857,0.504974,0.152929
43,2,0.895833,0.0416667,296.205,0.12048,0.378408,0.150265
44,2,0.916667,0.0416667,295.923,0.0922546,0.258914,0.141374
45,2,0.9375,0.0416667,295.656,0.0655823,0.152719,0.124531
46,2,0.958333,0.0416667,295.41,0.040979,0.0675081,0.0982803
47,2,0.979167,0.0416667,295.192,0.0192078,0.0126021,0.0631678
48,2,1,0.0416667,295,0,0,0
0,3,0,0.0625,305,1,0,0
1,3,0.0208333,0.0625,304.94,0.994046,0.0185024,-0.0482068
2,3,0.0416667,0.0625,304.881,0.988101,0.0656689,-0.0993531
3,3,0.0625,0.0625,304.812,0.981244,0.138348,-0.147061
4,3,0.0833333,0.0625,304.732,0.973242,0.233434,-0.187316
5,3,0.104167,0.0625,304.641,0.964056,0.347266,-0.218901
6,3,0.125,0.0625,304.537,0.953748,0.475882,-0.241984
7,3,0.145833,0.0625,304.424,0.94241,0.615337,-0.257318
8,3,0.166667,0.0625,304.302,0.930154,0.761894,-0.265837
9,3,0.1875,0.0625,304.171,0.917068,0.912157,-0.268474
10,3,0.208333,0.0625,304.032,0.903232,1.06311,-0.26611
11,3,0.229167,0.0625,303.887,0.88873,1.21215,-0.259555
12,3,0.25,0.0625,303.736,0.873611,1.35701,-0.249519
13,3,0.270833,0.0625,303.579,0.857922,1.49583,-0.236638
14,3,0.291667,0.0625,303.417,0.841699,1.62703,-0.221477
15,3,0.3125,0.0625,303.25,0.824963,1.74936,-0.204529
16,3,0.333333,0.0625,303.077,0.807742,1.86182,-0.186221
17,3,0.354167,0.0625,302.9,0.790033,1.9636,-0.166923
18,3,0.375,0.0625,302.718,0.771835,2.05415,-0.146938
19,3,0.395833,0.0625,302.532,0.753152,2.13303,-0.126522
20,3,0.416667,0.0625,302.34,0.733966,2.19998,-0.105883
21,3,0.4375,0.0625,302.143,0.714264,2.25481,-0.0851703
22,3,0.458333,0.0625,301.94,0.694025,2.29745,-0.0644995
23,3,0.479167,0.0625,301.732,0.673221,2.32787,-0.0439349
24,3,0.5,0.0625,301.518,0.651819,2.34609,-0.0235038
25,3,0.520833,0.0625,301.298,0.629797,2.35214,-0.00321072
26,3,0.541667,0.0625,301.071,0.607126,2.34607,0.016978
27,3,0.5625,0.0625,300.838,0.583765,2.3279,0.037113
28,3,0.583333,0.0625,300.597,0.559695,2.29765,0.0572569
29,3,0.604167,0.0625,300.349,0.534891,2.25531,0.0774945
30,3,0.625,0.0625,300.093,0.509335,2.20086,0.0978885
31,3,0.645833,0.0625,299.83,0.48302,2.13425,0.118499
32,3,0.666667,0.0625,299.56,0.455957,2.05543,0.139367
33,3,0.6875,0.0625,299.282,0.428152,1.96438,0.160468
34,3,0.708333,0.0625,298.996,0.39964,1.86114,0.181733
35,3,0.729167,0.0625,298.705,0.370462,1.74585,0.202999
36,3,0.75,0.0625,298.407,0.340698,1.6188,0.223982
37,3,0.770833,0.0625,298.104,0.310434,1.48055,0.244244
38,3,0.791667,0.0625,297.798,0.279791,1.33196,0.26314
39,3,0.8125,0.0625,297.489,0.248911,1.1744,0.279788
40,3,0.833333,0.0625,297.18,0.217972,1.0098,0.29298
41,3,0.854167,0.0625,296.872,0.187186,0.840884,0.301145
42,3,0.875,0.0625,296.568,0.15679,0.6713,0.302272
43,3,0.895833,0.0625,296.271,0.127075,0.505837,0.293888
44,3,0.916667,0.0625,295.984,0.0983673,0.350556,0.273068
45,3,0.9375,0.0625,295.711,0.0710632,0.212893,0.23665
46,3,0.958333,0.0625,295.456,0.0456024,0.10164,0.181819
47,3,0.979167,0.0625,295.225,0.0225159,0.0270502,0.107249
48,3,1,0.0625,295,0,0,0
0,4,0,0.0833333,305,1,0,0
1,4,0.0208333,0.0833333,304.93,0.993015,0.0239502,-0.0869712
2,4,0.0416667,0.0833333,304.859,0.985867,0.084412,-0.168062
3,4,0.0625,0.0833333,304.779,0.977881,0.175164,-0.241817
4,4,0.0833333,0.0833333,304.69,0.968951,0.291477,-0.304118
5,4,0.104167,0.0833333,304.591,0.959055,0.42886,-0.35359
6,4,0.125,0.0833333,304.482,0.948193,0.582882,-0.390355
7,4,0.145833,0.0833333,304.365,0.936453,0.749203,-0.415301
8,4,0.166667,0.0833333,304.239,0.923904,0.923735,-0.429638
9,4,0.1875,0.0833333,304.106,0.910626,1.10267,-0.434658
10,4,0.208333,0.0833333,303.967,0.896692,1.28259,-0.431641
11,4,0.229167,0.0833333,303.822,0.882178,1.46047,-0.421789
12,4,0.25,0.0833333,303.671,0.867123,1.63368,-0.406194
13,4,0.270833,0.0833333,303.516,0.851572,1.79999,-0.385858
14,4,0.291667,0.0833333,303.356,0.835553,1.95749,-0.361668
15,4,0.3125,0.0833333,303.191,0.819089,2.10465,-0.334417
16,4,0.333333,0.0833333,303.022,0.802191,2.24017,-0.304797
17,4,0.354167,0.0833333,302.849,0.784857,2.36308,-0.273403
18,4,0.375,0.0833333,302.671,0.767084,2.47259,-0.240747
19,4,0.395833,0.0833333,302.489,0.748862,2.56813,-0.207241
20,4,0.416667,0.0833333,302.302,0.730176,2.64928,-0.173237
21,4,0.4375,0.0833333,302.11,0.711005,2.71577,-0.138995
22,4,0.458333,0.0833333,301.913,0.691321,2.76743,-0.104708
23,4,0.479167,0.0833333,301.711,0.671094,2.80416,-0.070497
24,4,0.5,0.0833333,301.503,0.650293,2.82594,-0.0364406
25,4,0.520833,0.0833333,301.289,0.628879,2.83275,-0.00254006
26,4,0.541667,0.0833333,301.068,0.606815,2.82461,0.0312187
27,4,0.5625,0.0833333,300.841,0.584076,2.80154,0.0648929
28,4,0.583333,0.0833333,300.606,0.560617,2.76356,0.0985744
29,4,0.604167,0.0833333,300.364,0.53642,2.71069,0.132343
30,4,0.625,0.0833333,300.115,0.511453,2.64291,0.166288
31,4,0.645833,0.0833333,299.857,0.485706,2.56025,0.200465
32,4,0.666667,0.0833333,299.592,0.459177,2.46271,0.234885
33,4,0.6875,0.0833333,299.319,0.431873,2.35042,0.269481
34,4,0.708333,0.0833333,299.038,0.403812,2.22352,0.304087
35,4,0.729167,0.0833333,298.75,0.375037,2.08235,0.338369
36,4,0.75,0.0833333,298.456,0.345612,1.92746,0.371824
37,4,0.770833,0.0833333,298.156,0.31561,1.7597,0.403687
38,4,0.791667,0.0833333,297.852,0.285153,1.58034,0.432879
39,4,0.8125,0.0833333,297.544,0.254373,1.39117,0.457941
40,4,0.833333,0.0833333,297.234,0.223438,1.1947,0.476951
41,4,0.854167,0.0833333,296.926,0.192557,0.994241,0.487445
42,4,0.875,0.0833333,296.62,0.161963,0.794114,0.48635
43,4,0.895833,0.0833333,296.319,0.131943,0.599785,0.469974
44,4,0.916667,0.0833333,296.028,0.102811,0.41799,0.434066
45,4,0.9375,0.0833333,295.749,0.0749146,0.256802,0.374092
46,4,0.958333,0.0833333,295.486,0.0486206,0.125698,0.285862
47,4,0.979167,0.0833333,295.243,0.0242889,0.0357314,0.16661
48,4,1,0.0833333,295,0,0,0
0,5,0,0.104167,305,1,0,0
1,5,0.0208333,0.104167,304.923,0.992267,0.0278606,-0.134309
2,5,0.0416667,0.104167,304.843,0.984271,0.0982438,-0.250966
3,5,0.0625,0.104167,304.754,0.975375,0.202978,-0.354232
4,5,0.0833333,0.104167,304.656,0.965646,0.335871,-0.44094
5,5,0.104167,0.104167,304.551,0.955072,0.491569,-0.510029
6,5,0.125,0.104167,304.437,0.943683,0.665141,-0.561798
7,5,0.145833,0.104167,304.315,0.931528,0.851912,-0.597367
8,5,0.166667,0.104167,304.187,0.918671,1.04753,-0.618217
9,5,0.1875,0.104167,304.052,0.905173,1.24795,-0.626003
10,5,0.208333,0.104167,303.911,0.891098,1.44949,-0.622385
11,5,0.229167,0.104167,303.765,0.876511,1.64889,-0.608964
12,5,0.25,0.104167,303.615,0.861453,1.84326,-0.587233
13,5,0.270833,0.104167,303.46,0.845959,2.03012,-0.558564
14,5,0.291667,0.104167,303.301,0.83006,2.20733,-0.524204
