id,x_um,y_um,z_um,radius_um
0,93.1974,155.4064,34.8444,6.5811
1,161.7481,122.4708,55.0427,5.0000
2,112.3936,49.7330,69.3730,5.0000
3,65.6941,37.0556,51.5282,6.2940
4,82.1192,169.8294,34.7937,11.1977
5,160.8020,29.6335,68.2109,5.0000
6,140.9162,167.0278,58.8394,6.2616
7,128.2388,184.4966,25.1303,10.6502
8,50.5264,27.3080,21.9460,16.0000
9,86.8313,108.7008,33.1578,9.8699
10,45.2101,69.6860,45.8219,12.8057
11,183.2453,19.5746,10.8343,6.1073
12,186.9869,93.2096,8.7349,7.5320
13,151.4023,78.3410,49.9473,16.0000
14,1.1353,30.2927,19.8590,13.3769
15,33.1309,125.9255,13.0776,11.6372
16,26.1361,191.5586,43.3773,12.5878
17,106.3143,127.1401,39.2631,9.9299
18,186.1080,148.1124,54.4255,16.0000
19,140.1837,1.7212,67.6953,5.6786
20,137.3150,141.1359,45.1501,10.6262
21,172.9118,102.6643,24.2638,9.0296
22,198.7487,117.4596,52.8976,16.0000
23,91.3602,7.0742,56.6556,7.4933
24,64.9739,73.4947,17.7653,10.3365
25,114.8167,130.8206,22.3940,7.3794
26,64.8701,148.2528,23.4556,11.1229
27,16.8889,60.1032,22.1423,16.0000
28,135.0139,115.6407,48.6488,5.0000
29,54.7075,91.1649,61.1488,9.9396
30,199.9695,170.3543,50.2611,9.0941
31,23.8166,153.9903,27.2805,8.2454
32,3.4547,199.5056,62.5774,13.6587
33,68.7033,119.4922,63.5878,14.3894
34,8.0325,42.4940,52.5548,16.0000
35,195.7762,88.3999,34.3720,9.5637
36,167.2780,6.4516,53.5199,10.8183
37,103.1465,30.2316,48.4692,16.0000
38,74.8070,155.3270,64.6661,11.0113
39,127.4087,57.6434,35.9578,13.2475
40,14.0996,76.5892,53.9691,13.3618
41,104.0986,114.2796,62.3505,16.0000
42,82.8150,51.5091,43.1020,9.0589
43,159.6362,26.7098,17.6132,9.6643
44,77.8222,85.2992,39.8456,14.0562
45,121.6590,18.3111,65.8877,11.3957
46,136.4482,10.0528,50.4700,10.8497
47,190.8566,153.5813,27.0013,11.5346
48,140.5133,55.6230,12.1395,5.0000
49,31.7515,13.2572,12.2670,7.8907
50,174.5170,39.3139,46.7685,16.0000
51,160.4236,160.4480,19.2505,8.3576
52,180.8283,193.2005,18.7056,16.0000
53,117.8259,170.6839,48.8081,14.3612
54,172.8202,57.1795,29.5793,7.4402
55,130.2835,85.1405,68.9530,10.0129
56,50.4105,144.4136,47.0019,8.6439
57,90.6217,33.2408,14.0891,8.9446
58,139.2132,94.1923,27.4037,11.3791
59,3.8392,125.8034,17.5308,12.7345
60,66.4388,104.9226,17.2437,16.0000
61,165.1479,98.5565,65.8862,13.0427
62,113.3824,75.3990,62.2277,9.7874
63,80.0134,0.3723,35.2296,16.0000
64,25.3548,27.1187,7.7916,6.4844
65,57.1368,11.3651,57.8094,16.0000
66,194.6226,48.5549,28.6608,6.9879
67,120.4566,14.2582,21.3527,16.0000
68,35.1390,90.9390,16.5112,16.0000
69,90.0479,167.4001,58.0178,9.1332
70,160.1123,164.9342,65.5926,13.8975
71,107.6815,86.7580,29.5136,16.0000
72,50.1053,170.7999,30.6796,16.0000
73,114.7313,43.7574,18.7947,10.4314
74,191.2046,62.4348,20.4782,8.2277
75,127.7932,156.4012,22.9376,11.8473
76,29.0902,138.7432,59.8177,16.0000
77,189.4711,177.9717,65.7378,8.1213
78,24.7566,109.7690,62.3377,11.2232
79,193.2066,61.2690,65.4785,5.0000
80,96.1089,50.7767,16.1717,8.8274
81,8.5330,179.4183,13.0576,8.0079
82,178.4051,127.2622,23.3195,10.0231
83,151.7563,126.2490,25.6111,16.0000
84,47.7493,176.5130,67.7922,11.5301
85,103.7629,195.0621,62.4439,8.3295
86,153.2029,57.9974,26.9948,11.2008
87,159.3799,184.4050,50.5750,8.2305
88,91.5860,186.9625,12.0280,11.1747
89,42.5489,114.1270,36.9855,15.7129
90,77.5414,69.8630,69.6276,8.6138
91,80.8496,13.2511,12.6189,9.7027
92,172.4174,74.7581,17.2819,13.2065
93,154.1002,141.0871,64.9678,7.8475
94,184.5943,72.0420,50.6445,14.4532
95,20.5878,179.5221,63.9191,11.1928
96,41.1206,45.8815,62.4736,16.0000
97,94.9980,127.4209,14.6318,13.0964
98,136.1675,99.8688,8.4477,8.0736
99,82.4549,132.1329,41.0889,11.7938
100,82.6502,151.4389,26.4563,6.5747
101,75.8446,181.5180,55.0610,8.0973
102,112.4790,6.2502,46.2261,8.2771
103,81.4417,61.9648,23.1587,10.4504
104,41.3160,143.1623,30.1746,8.7277
105,109.5798,143.6628,57.5644,14.0435
106,125.1686,114.9754,36.6323,9.3218
107,45.6374,194.3907,17.8588,10.3114
108,106.0213,167.0400,15.0177,11.2057
109,145.6465,8.9846,16.3316,7.0975
110,120.2307,66.7745,11.8919,10.8308
111,47.5845,129.4107,56.2604,5.0000
112,187.9330,45.2284,72.1877,7.3540
113,32.0688,35.0108,38.5270,5.0000
114,147.3067,47.1023,58.7786,10.5687
115,151.4634,196.0326,34.4137,12.8053
116,176.7205,16.2481,67.3577,7.6484
117,51.8998,156.0656,12.9413,6.5737
118,6.5554,93.6735,60.6120,6.2758
119,83.2972,84.7560,15.2963,7.3511
120,22.4250,167.6321,45.5400,10.6597
121,108.0722,26.8990,5.6559,5.3578
122,6.4943,189.3979,40.0308,7.4444
