step,time_ms,mass_mid,mass_error_pct,max_vel_ms,R_eff_cells,circularity
0,0.0,4096,0.0,0.0,36.0199,0.860329
200,10,4096,0.00025034,0.0631631,36.1786,1.02983
400,20,4096,0.000274182,0.0416038,35.8959,1.17577
600,30,4096,0.000262261,0.0247851,35.9491,1.27549
800,40,4096,0.000262261,0.00654522,35.9491,1.32808
1000,50,4096,0.00025034,0.00544401,35.9491,1.32808
1200,60,4096,0.000274182,0.0066953,35.9491,1.27549
1400,70,4096,0.00025034,0.00427841,35.9137,1.27297
1600,80,4096,0.000274182,0.00154832,35.9491,1.27549
1800,90,4096,0.000262261,0.00112025,35.9845,1.278
2000,100,4096,0.000238419,0.00121596,35.9491,1.27549
