i,j,k,fill,curvature,temperature,liquid_frac,ux,uy,uz,vmag
0,0,74,9.975274e-01,0.000000e+00,3.000000e+02,0.000000e+00,6.014189e-15,1.603784e-14,-5.225662e-13,5.228468e-13
1,0,74,9.975274e-01,0.000000e+00,3.000000e+02,0.000000e+00,-1.603784e-13,1.470135e-14,-5.513007e-13,5.743429e-13
2,0,74,9.975274e-01,0.000000e+00,3.000000e+02,0.000000e+00,-2.946953e-13,1.737432e-14,-6.114426e-13,6.789766e-13
3,0,74,9.975274e-01,0.000000e+00,3.000000e+02,0.000000e+00,-4.270074e-13,1.336487e-14,-7.337311e-13,8.490437e-13
4,0,74,9.975274e-01,0.000000e+00,3.000000e+02,0.000000e+00,-5.673385e-13,1.871081e-14,-8.967824e-13,1.061340e-12
5,0,74,9.975274e-01,0.000000e+00,3.000000e+02,0.000000e+00,-6.969777e-13,2.672973e-15,-1.087232e-12,1.291456e-12
6,0,74,9.975274e-01,0.000000e+00,3.000000e+02,0.000000e+00,-8.052331e-13,-3.341216e-15,-1.357202e-12,1.578103e-12
7,0,74,9.975274e-01,0.000000e+00,3.000000e+02,0.000000e+00,-9.368770e-13,3.341216e-15,-1.648556e-12,1.896177e-12
8,0,74,9.975274e-01,0.000000e+00,3.000000e+02,0.000000e+00,-1.047137e-12,-1.336486e-15,-1.974659e-12,2.235123e-12
9,0,74,9.975274e-01,0.000000e+00,3.000000e+02,0.000000e+00,-1.160070e-12,1.069189e-14,-2.327491e-12,2.600595e-12
10,0,74,9.975274e-01,0.000000e+00,3.000000e+02,0.000000e+00,-1.231572e-12,2.539324e-14,-2.727101e-12,2.992406e-12
11,0,74,9.975274e-01,0.000000e+00,3.000000e+02,0.000000e+00,-1.285700e-12,2.272027e-14,-3.138070e-12,3.391316e-12
12,0,74,9.975274e-01,0.000000e+00,3.000000e+02,0.000000e+00,-1.335818e-12,1.871081e-14,-3.592476e-12,3.832837e-12
13,0,74,9.975274e-01,0.000000e+00,3.000000e+02,0.000000e+00,-1.328468e-12,-1.069189e-14,-4.042203e-12,4.254920e-12
14,0,74,9.975274e-01,0.000000e+00,3.000000e+02,0.000000e+00,-1.286368e-12,-4.009459e-15,-4.502623e-12,4.682774e-12
15,0,74,9.975274e-01,0.000000e+00,3.000000e+02,0.000000e+00,-1.176108e-12,-1.336486e-15,-4.918270e-12,5.056937e-12
16,0,74,9.975274e-01,0.000000e+00,3.000000e+02,0.000000e+00,-9.963507e-13,-6.682432e-16,-5.291818e-12,5.384799e-12
17,0,74,9.975274e-01,0.000000e+00,3.000000e+02,0.000000e+00,-7.811763e-13,-6.014189e-15,-5.603220e-12,5.657415e-12
18,0,74,9.975274e-01,0.000000e+00,3.000000e+02,0.000000e+00,-5.392723e-13,4.009459e-15,-5.837105e-12,5.861964e-12
19,0,74,9.975274e-01,0.000000e+00,3.000000e+02,0.000000e+00,-2.759844e-13,0.000000e+00,-5.963403e-12,5.969785e-12
20,0,74,9.975274e-01,0.000000e+00,3.000000e+02,0.000000e+00,-9.355405e-15,1.069189e-14,-6.016862e-12,6.016879e-12
21,0,74,9.975274e-01,0.000000e+00,3.000000e+02,0.000000e+00,2.913540e-13,1.336486e-15,-5.952711e-12,5.959837e-12
22,0,74,9.975274e-01,0.000000e+00,3.000000e+02,0.000000e+00,5.526371e-13,1.603784e-14,-5.812380e-12,5.838615e-12
23,0,74,9.975274e-01,0.000000e+00,3.000000e+02,0.000000e+00,7.925365e-13,1.336487e-14,-5.567134e-12,5.623280e-12
24,0,74,9.975274e-01,0.000000e+00,3.000000e+02,0.000000e+00,1.013725e-12,2.004730e-15,-5.255065e-12,5.351948e-12
25,0,74,9.975274e-01,0.000000e+00,3.000000e+02,0.000000e+00,1.143364e-12,-1.336486e-15,-4.896886e-12,5.028596e-12
26,0,74,9.975274e-01,0.000000e+00,3.000000e+02,0.000000e+00,1.264984e-12,1.269662e-14,-4.475225e-12,4.650589e-12
27,0,74,9.975274e-01,0.000000e+00,3.000000e+02,0.000000e+00,1.319780e-12,5.345946e-15,-4.034853e-12,4.245219e-12
28,0,74,9.975274e-01,0.000000e+00,3.000000e+02,0.000000e+00,1.317776e-12,-2.672973e-15,-3.595149e-12,3.829051e-12
29,0,74,9.975274e-01,0.000000e+00,3.000000e+02,0.000000e+00,1.295055e-12,7.350676e-15,-3.147426e-12,3.403456e-12
30,0,74,9.975274e-01,0.000000e+00,3.000000e+02,0.000000e+00,1.226895e-12,-2.004730e-15,-2.731110e-12,2.994033e-12
31,0,74,9.975274e-01,0.000000e+00,3.000000e+02,0.000000e+00,1.167421e-12,7.350676e-15,-2.334174e-12,2.609845e-12
32,0,74,9.975274e-01,0.000000e+00,3.000000e+02,0.000000e+00,1.049142e-12,8.687162e-15,-1.962630e-12,2.225464e-12
33,0,74,9.975274e-01,0.000000e+00,3.000000e+02,0.000000e+00,9.301946e-13,-2.004730e-15,-1.639201e-12,1.884740e-12
34,0,74,9.975274e-01,0.000000e+00,3.000000e+02,0.000000e+00,8.112473e-13,6.014189e-15,-1.350520e-12,1.575456e-12
35,0,74,9.975274e-01,0.000000e+00,3.000000e+02,0.000000e+00,6.762622e-13,-7.350676e-15,-1.091909e-12,1.284387e-12
36,0,74,9.975274e-01,0.000000e+00,3.000000e+02,0.000000e+00,5.399405e-13,1.403311e-14,-9.048014e-13,1.053754e-12
37,0,74,9.975274e-01,0.000000e+00,3.000000e+02,0.000000e+00,4.189885e-13,1.536959e-14,-7.337311e-13,8.450733e-13
38,0,74,9.975274e-01,0.000000e+00,3.000000e+02,0.000000e+00,3.060554e-13,2.205203e-14,-6.254757e-13,6.966893e-13
39,0,74,9.975274e-01,0.000000e+00,3.000000e+02,0.000000e+00,1.724068e-13,1.269662e-14,-5.546419e-13,5.809586e-13
0,1,74,9.975274e-01,0.000000e+00,3.000000e+02,0.000000e+00,8.687162e-15,-5.619926e-13,-6.047601e-13,8.256185e-13
1,1,74,9.975274e-01,0.000000e+00,3.000000e+02,0.000000e+00,-1.650561e-13,-5.726845e-13,-6.341629e-13,8.702721e-13
2,1,74,9.975274e-01,0.000000e+00,3.000000e+02,0.000000e+00,-3.240980e-13,-6.228027e-13,-7.090061e-13,9.978037e-13
3,1,74,9.975274e-01,0.000000e+00,3.000000e+02,0.000000e+00,-5.005142e-13,-7.424182e-13,-8.600291e-13,1.241511e-12
4,1,74,9.975274e-01,0.000000e+00,3.000000e+02,0.000000e+00,-6.702480e-13,-9.195028e-13,-1.053820e-12,1.550888e-12
5,1,74,9.975274e-01,0.000000e+00,3.000000e+02,0.000000e+00,-8.319629e-13,-1.153388e-12,-1.299733e-12,1.926596e-12
6,1,74,9.975274e-01,0.000000e+00,3.000000e+02,0.000000e+00,-9.749669e-13,-1.447415e-12,-1.583068e-12,2.356199e-12
7,1,74,9.975274e-01,0.000000e+00,3.000000e+02,0.000000e+00,-1.115966e-12,-1.776859e-12,-1.929887e-12,2.850802e-12
8,1,74,9.975274e-01,0.000000e+00,3.000000e+02,0.000000e+00,-1.254961e-12,-2.191838e-12,-2.324150e-12,3.432310e-12
9,1,74,9.975274e-01,0.000000e+00,3.000000e+02,0.000000e+00,-1.367894e-12,-2.632210e-12,-2.750489e-12,4.045350e-12
10,1,74,9.975274e-01,0.000000e+00,3.000000e+02,0.000000e+00,-1.469467e-12,-3.115350e-12,-3.240311e-12,4.729097e-12
11,1,74,9.975274e-01,0.000000e+00,3.000000e+02,0.000000e+00,-1.561016e-12,-3.637248e-12,-3.748176e-12,5.451163e-12
12,1,74,9.975274e-01,0.000000e+00,3.000000e+02,0.000000e+00,-1.609130e-12,-4.184539e-12,-4.282771e-12,6.200145e-12
13,1,74,9.975274e-01,0.000000e+00,3.000000e+02,0.000000e+00,-1.618485e-12,-4.749873e-12,-4.835408e-12,6.968641e-12
14,1,74,9.975274e-01,0.000000e+00,3.000000e+02,0.000000e+00,-1.557007e-12,-5.313202e-12,-5.378690e-12,7.719112e-12
15,1,74,9.975274e-01,0.000000e+00,3.000000e+02,0.000000e+00,-1.402643e-12,-5.822403e-12,-5.903261e-12,8.409297e-12
16,1,74,9.975274e-01,0.000000e+00,3.000000e+02,0.000000e+00,-1.199497e-12,-6.259434e-12,-6.360339e-12,9.004067e-12
17,1,74,9.975274e-01,0.000000e+00,3.000000e+02,0.000000e+00,-9.362088e-13,-6.627382e-12,-6.721190e-12,9.485414e-12
18,1,74,9.975274e-01,0.000000e+00,3.000000e+02,0.000000e+00,-6.435182e-13,-6.910972e-12,-6.993166e-12,9.852919e-12
19,1,74,9.975274e-01,0.000000e+00,3.000000e+02,0.000000e+00,-3.401358e-13,-7.094738e-12,-7.150871e-12,1.007899e-11
20,1,74,9.975274e-01,0.000000e+00,3.000000e+02,0.000000e+00,-8.687162e-15,-7.151953e-12,-7.213686e-12,1.015814e-11
21,1,74,9.975274e-01,0.000000e+00,3.000000e+02,0.000000e+00,3.494912e-13,-7.115868e-12,-7.150871e-12,1.009419e-11
22,1,74,9.975274e-01,0.000000e+00,3.000000e+02,0.000000e+00,6.649021e-13,-6.946134e-12,-6.973118e-12,9.864849e-12
23,1,74,9.975274e-01,0.000000e+00,3.000000e+02,0.000000e+00,9.562561e-13,-6.665058e-12,-6.693124e-12,9.493964e-12
24,1,74,9.975274e-01,0.000000e+00,3.000000e+02,0.000000e+00,1.221549e-12,-6.296856e-12,-6.304207e-12,8.993643e-12
25,1,74,9.975274e-01,0.000000e+00,3.000000e+02,0.000000e+00,1.409993e-12,-5.831090e-12,-5.868512e-12,8.392207e-12
26,1,74,9.975274e-01,0.000000e+00,3.000000e+02,0.000000e+00,1.512234e-12,-5.317625e-12,-5.364657e-12,7.703475e-12
27,1,74,9.975274e-01,0.000000e+00,3.000000e+02,0.000000e+00,1.578391e-12,-4.787963e-12,-4.842091e-12,6.990118e-12
28,1,74,9.975274e-01,0.000000e+00,3.000000e+02,0.000000e+00,1.582400e-12,-4.223965e-12,-4.306828e-12,6.236557e-12
29,1,74,9.975274e-01,0.000000e+00,3.000000e+02,0.000000e+00,1.546983e-12,-3.679347e-12,-3.770228e-12,5.490480e-12
30,1,74,9.975274e-01,0.000000e+00,3.000000e+02,0.000000e+00,1.485505e-12,-3.142748e-12,-3.257686e-12,4.764043e-12
31,1,74,9.975274e-01,0.000000e+00,3.000000e+02,0.000000e+00,1.401974e-12,-2.642234e-12,-2.762518e-12,4.071663e-12
32,1,74,9.975274e-01,0.000000e+00,3.000000e+02,0.000000e+00,1.263648e-12,-2.189833e-12,-2.322145e-12,3.432861e-12
33,1,74,9.975274e-01,0.000000e+00,3.000000e+02,0.000000e+00,1.117971e-12,-1.787551e-12,-1.923872e-12,2.854204e-12
34,1,74,9.975274e-01,0.000000e+00,3.000000e+02,0.000000e+00,9.595973e-13,-1.433382e-12,-1.578391e-12,2.338103e-12
35,1,74,9.975274e-01,0.000000e+00,3.000000e+02,0.000000e+00,8.018919e-13,-1.169426e-12,-1.294387e-12,1.919902e-12
36,1,74,9.975274e-01,0.000000e+00,3.000000e+02,0.000000e+00,6.582196e-13,-9.362088e-13,-1.043128e-12,1.548501e-12
37,1,74,9.975274e-01,0.000000e+00,3.000000e+02,0.000000e+00,4.978412e-13,-7.611291e-13,-8.606973e-13,1.252183e-12
38,1,74,9.975274e-01,0.000000e+00,3.000000e+02,0.000000e+00,3.401358e-13,-6.328264e-13,-7.290534e-13,1.023563e-12
39,1,74,9.975274e-01,0.000000e+00,3.000000e+02,0.000000e+00,1.877763e-13,-5.760257e-13,-6.381723e-13,8.799599e-13
0,2,74,9.975274e-01,0.000000e+00,3.000000e+02,0.000000e+00,1.269662e-14,-1.293719e-12,-8.720574e-13,1.560242e-12
1,2,74,9.975274e-01,0.000000e+00,3.000000e+02,0.000000e+00,-2.298757e-13,-1.342501e-12,-9.148250e-13,1.640748e-12
2,2,74,9.975274e-01,0.000000e+00,3.000000e+02,0.000000e+00,-4.831398e-13,-1.490851e-12,-1.041123e-12,1.881488e-12
3,2,74,9.975274e-01,0.000000e+00,3.000000e+02,0.000000e+00,-7.397453e-13,-1.785546e-12,-1.253624e-12,2.303687e-12
4,2,74,9.975274e-01,0.000000e+00,3.000000e+02,0.000000e+00,-9.963507e-13,-2.193174e-12,-1.545647e-12,2.862124e-12
5,2,74,9.975274e-01,0.000000e+00,3.000000e+02,0.000000e+00,-1.241596e-12,-2.720418e-12,-1.926545e-12,3.557220e-12
6,2,74,9.975274e-01,0.000000e+00,3.000000e+02,0.000000e+00,-1.484168e-12,-3.402026e-12,-2.392311e-12,4.415845e-12
7,2,74,9.975274e-01,0.000000e+00,3.000000e+02,0.000000e+00,-1.714044e-12,-4.205255e-12,-2.919555e-12,5.398695e-12
8,2,74,9.975274e-01,0.000000e+00,3.000000e+02,0.000000e+00,-1.937905e-12,-5.128767e-12,-3.529661e-12,6.520600e-12
9,2,74,9.975274e-01,0.000000e+00,3.000000e+02,0.000000e+00,-2.141720e-12,-6.160534e-12,-4.215278e-12,7.765804e-12
10,2,74,9.975274e-01,0.000000e+00,3.000000e+02,0.000000e+00,-2.295416e-12,-7.313254e-12,-4.972398e-12,9.136594e-12
11,2,74,9.975274e-01,0.000000e+00,3.000000e+02,0.000000e+00,-2.423718e-12,-8.546480e-12,-5.763598e-12,1.058942e-11
12,2,74,9.975274e-01,0.000000e+00,3.000000e+02,0.000000e+00,-2.508585e-12,-9.811625e-12,-6.607589e-12,1.209220e-11
13,2,74,9.975274e-01,0.000000e+00,3.000000e+02,0.000000e+00,-2.525291e-12,-1.111002e-11,-7.466282e-12,1.362186e-11
14,2,74,9.975274e-01,0.000000e+00,3.000000e+02,0.000000e+00,-2.425055e-12,-1.239438e-11,-8.323638e-12,1.512563e-11
15,2,74,9.975274e-01,0.000000e+00,3.000000e+02,0.000000e+00,-2.173127e-12,-1.356581e-11,-9.135553e-12,1.649885e-11
16,2,74,9.975274e-01,0.000000e+00,3.000000e+02,0.000000e+00,-1.868153e-12,-1.460519e-11,-9.866612e-12,1.772432e-11
17,2,74,9.975274e-01,0.000000e+00,3.000000e+02,0.000000e+00,-1.469467e-12,-1.548167e-11,-1.045467e-11,1.873877e-11
18,2,74,9.975274e-01,0.000000e+00,3.000000e+02,0.000000e+00,-1.019326e-12,-1.613012e-11,-1.089103e-11,1.948934e-11
19,2,74,9.975274e-01,0.000000e+00,3.000000e+02,0.000000e+00,-5.390176e-13,-1.654643e-11,-1.115565e-11,1.996306e-11
20,2,74,9.975274e-01,0.000000e+00,3.000000e+02,0.000000e+00,2.546678e-16,-1.668852e-11,-1.124854e-11,2.012551e-11
21,2,74,9.975274e-01,0.000000e+00,3.000000e+02,0.000000e+00,5.245709e-13,-1.656288e-11,-1.116501e-11,1.998153e-11
22,2,74,9.975274e-01,0.000000e+00,3.000000e+02,0.000000e+00,1.042205e-12,-1.616086e-11,-1.089905e-11,1.952047e-11
23,2,74,9.975274e-01,0.000000e+00,3.000000e+02,0.000000e+00,1.503293e-12,-1.550397e-11,-1.044999e-11,1.875728e-11
24,2,74,9.975274e-01,0.000000e+00,3.000000e+02,0.000000e+00,1.881105e-12,-1.463099e-11,-9.848569e-12,1.773694e-11
25,2,74,9.975274e-01,0.000000e+00,3.000000e+02,0.000000e+00,2.174718e-12,-1.359079e-11,-9.122857e-12,1.651259e-11
26,2,74,9.975274e-01,0.000000e+00,3.000000e+02,0.000000e+00,2.360903e-12,-1.241669e-11,-8.341012e-12,1.514333e-11
27,2,74,9.975274e-01,0.000000e+00,3.000000e+02,0.000000e+00,2.475587e-12,-1.113834e-11,-7.507044e-12,1.365822e-11
28,2,74,9.975274e-01,0.000000e+00,3.000000e+02,0.000000e+00,2.484528e-12,-9.853978e-12,-6.651025e-12,1.214537e-11
29,2,74,9.975274e-01,0.000000e+00,3.000000e+02,0.000000e+00,2.429064e-12,-8.581484e-12,-5.834432e-12,1.065752e-11
30,2,74,9.975274e-01,0.000000e+00,3.000000e+02,0.000000e+00,2.321477e-12,-7.353763e-12,-5.001801e-12,9.191577e-12
31,2,74,9.975274e-01,0.000000e+00,3.000000e+02,0.000000e+00,2.166445e-12,-6.192356e-12,-4.235994e-12,7.809122e-12
