i,j,x,y,ux,uy,vorticity
0,0,3.90625019e-06,3.90625019e-06,2.45338376e-03,-2.45338376e-03,7.56531894e-01
1,0,1.17187501e-05,3.90625019e-06,7.35424133e-03,-2.44747335e-03,2.26777792e+00
2,0,1.95312514e-05,3.90625019e-06,1.22373812e-02,-2.43566674e-03,3.77355480e+00
3,0,2.73437508e-05,3.90625019e-06,1.70910414e-02,-2.41799257e-03,5.27036142e+00
4,0,3.51562521e-05,3.90625019e-06,2.19035242e-02,-2.39449297e-03,6.75421906e+00
5,0,4.29687534e-05,3.90625019e-06,2.66632456e-02,-2.36522476e-03,8.22192383e+00
6,0,5.07812510e-05,3.90625019e-06,3.13587263e-02,-2.33025872e-03,9.66981030e+00
7,0,5.85937523e-05,3.90625019e-06,3.59786637e-02,-2.28967913e-03,1.10945244e+01
8,0,6.64062536e-05,3.90625019e-06,4.05119322e-02,-2.24358309e-03,1.24925213e+01
9,0,7.42187549e-05,3.90625019e-06,4.49475944e-02,-2.19208235e-03,1.38601952e+01
10,0,8.20312562e-05,3.90625019e-06,4.92749773e-02,-2.13530054e-03,1.51947575e+01
11,0,8.98437575e-05,3.90625019e-06,5.34836538e-02,-2.07337434e-03,1.64926186e+01
12,0,9.76562515e-05,3.90625019e-06,5.75634837e-02,-2.00645369e-03,1.77505836e+01
13,0,1.05468753e-04,3.90625019e-06,6.15046285e-02,-1.93469913e-03,1.89657516e+01
14,0,1.13281254e-04,3.90625019e-06,6.52976185e-02,-1.85828353e-03,2.01356316e+01
15,0,1.21093755e-04,3.90625019e-06,6.89332932e-02,-1.77739142e-03,2.12569370e+01
16,0,1.28906249e-04,3.90625019e-06,7.24028870e-02,-1.69221731e-03,2.23264236e+01
17,0,1.36718751e-04,3.90625019e-06,7.56980777e-02,-1.60296657e-03,2.33427868e+01
18,0,1.44531252e-04,3.90625019e-06,7.88109004e-02,-1.50985410e-03,2.43024292e+01
19,0,1.52343753e-04,3.90625019e-06,8.17338601e-02,-1.41310424e-03,2.52037106e+01
20,0,1.60156254e-04,3.90625019e-06,8.44599158e-02,-1.31295004e-03,2.60445976e+01
21,0,1.67968756e-04,3.90625019e-06,8.69824961e-02,-1.20963273e-03,2.68226318e+01
22,0,1.75781257e-04,3.90625019e-06,8.92955288e-02,-1.10340142e-03,2.75354519e+01
23,0,1.83593758e-04,3.90625019e-06,9.13934410e-02,-9.94511880e-04,2.81821918e+01
24,0,1.91406260e-04,3.90625019e-06,9.32711735e-02,-8.83226749e-04,2.87611427e+01
25,0,1.99218761e-04,3.90625019e-06,9.49242190e-02,-7.69813603e-04,2.92716122e+01
26,0,2.07031262e-04,3.90625019e-06,9.63485762e-02,-6.54545904e-04,2.97105675e+01
27,0,2.14843763e-04,3.90625019e-06,9.75408256e-02,-5.37701359e-04,3.00784492e+01
28,0,2.22656265e-04,3.90625019e-06,9.84980911e-02,-4.19561431e-04,3.03733864e+01
29,0,2.30468766e-04,3.90625019e-06,9.92180631e-02,-3.00410728e-04,3.05954952e+01
30,0,2.38281267e-04,3.90625019e-06,9.96990129e-02,-1.80536314e-04,3.07440166e+01
31,0,2.46093754e-04,3.90625019e-06,9.99397784e-02,-6.02272557e-05,3.08178749e+01
32,0,2.53906270e-04,3.90625019e-06,9.99397784e-02,6.02274740e-05,3.08178711e+01
33,0,2.61718757e-04,3.90625019e-06,9.96990129e-02,1.80536503e-04,3.07440166e+01
