i,j,x,y,ux,uy,vorticity
0,0,3.90625019e-06,3.90625019e-06,4.49708350e-05,-4.47939310e-05,1.41824121e-02
1,0,1.17187501e-05,3.90625019e-06,1.34646194e-04,-4.47045422e-05,3.90873738e-02
2,0,1.95312514e-05,3.90625019e-06,2.24168893e-04,-4.45015721e-05,7.07870349e-02
3,0,2.73437508e-05,3.90625019e-06,3.12987773e-04,-4.41608099e-05,9.85611677e-02
4,0,3.51562521e-05,3.90625019e-06,4.01130616e-04,-4.37399649e-05,1.26321107e-01
5,0,4.29687534e-05,3.90625019e-06,4.88102291e-04,-4.32427842e-05,1.55998856e-01
6,0,5.07812510e-05,3.90625019e-06,5.73874684e-04,-4.26133774e-05,1.80671453e-01
7,0,5.85937523e-05,3.90625019e-06,6.58401346e-04,-4.18647978e-05,2.02124685e-01
8,0,6.64062536e-05,3.90625019e-06,7.41454947e-04,-4.09895911e-05,2.28812903e-01
9,0,7.42187549e-05,3.90625019e-06,8.22676346e-04,-4.00305871e-05,2.56701827e-01
10,0,8.20312562e-05,3.90625019e-06,9.01897671e-04,-3.90101304e-05,2.87327915e-01
11,0,8.98437575e-05,3.90625019e-06,9.78945754e-04,-3.78369732e-05,3.06998372e-01
12,0,9.76562515e-05,3.90625019e-06,1.05357519e-03,-3.66731365e-05,3.21055740e-01
13,0,1.05468753e-04,3.90625019e-06,1.12564967e-03,-3.54087388e-05,3.43224704e-01
14,0,1.13281254e-04,3.90625019e-06,1.19502598e-03,-3.40009574e-05,3.68717790e-01
15,0,1.21093755e-04,3.90625019e-06,1.26134430e-03,-3.25633773e-05,3.85182440e-01
16,0,1.28906249e-04,3.90625019e-06,1.32478564e-03,-3.10587566e-05,4.07098055e-01
17,0,1.36718751e-04,3.90625019e-06,1.38512487e-03,-2.94014462e-05,4.26458061e-01
18,0,1.44531252e-04,3.90625019e-06,1.44214020e-03,-2.76901355e-05,4.44210231e-01
19,0,1.52343753e-04,3.90625019e-06,1.49570499e-03,-2.58782657e-05,4.65546131e-01
20,0,1.60156254e-04,3.90625019e-06,1.54565705e-03,-2.40049449e-05,4.80311543e-01
