X_um,Z_um
61.7504,147.0000
61.5685,149.0000
62.0000,145.6800
63.2938,141.0000
62.6151,143.0000
62.1203,145.0000
64.0000,139.4041
65.2161,137.0000
64.1728,139.0000
66.0000,135.7681
66.4909,135.0000
68.0000,133.0258
69.8789,131.0000
68.0205,133.0000
70.0000,130.8783
71.9725,129.0000
72.0000,128.9760
74.0000,127.3187
74.4446,127.0000
76.0000,125.9361
77.7286,125.0000
78.0000,124.8435
80.0000,123.6693
81.6530,123.0000
82.0000,122.8455
84.0000,121.9075
86.0000,121.2562
87.2367,121.0000
88.0000,120.8112
90.0000,120.1537
92.0000,119.7069
94.0000,119.3798
96.0000,119.1543
98.0000,119.0228
99.7512,119.0000
100.0000,118.9962
100.2488,119.0000
102.0000,119.0228
104.0000,119.1543
106.0000,119.3798
108.0000,119.7069
110.0000,120.1537
112.0000,120.8112
112.7633,121.0000
114.0000,121.2562
116.0000,121.9075
118.0000,122.8455
118.3470,123.0000
120.0000,123.6693
122.0000,124.8435
122.2714,125.0000
124.0000,125.9361
125.5554,127.0000
126.0000,127.3187
128.0000,128.9760
128.0275,129.0000
130.0000,130.8783
130.1211,131.0000
131.9796,133.0000
132.0000,133.0258
133.5091,135.0000
134.0000,135.7681
134.7839,137.0000
135.8272,139.0000
136.0000,139.4041
136.7062,141.0000
137.3849,143.0000
137.8797,145.0000
138.0000,145.6800
138.2496,147.0000
138.4315,149.0000
