X_um,Z_um
61.8219,149.0000
62.0000,148.3035
63.1203,145.0000
62.2652,147.0000
64.0000,143.5247
65.9133,141.0000
64.3002,143.0000
66.0000,140.8968
67.7144,139.0000
68.0000,138.6976
69.6092,137.0000
70.0000,136.6093
71.4751,135.0000
72.0000,134.4999
73.6573,133.0000
74.0000,132.6928
75.8425,131.0000
76.0000,130.8709
78.0000,129.0989
78.1422,129.0000
80.0000,127.7393
81.7523,127.0000
82.0000,126.8644
84.0000,125.5075
85.7302,125.0000
86.0000,124.8902
88.0000,123.7497
90.0000,123.1401
91.2718,123.0000
92.0000,122.8699
94.0000,122.1163
96.0000,121.7209
98.0000,121.5073
100.0000,121.4396
102.0000,121.5073
104.0000,121.7208
106.0000,122.1163
108.0000,122.8699
108.7282,123.0000
110.0000,123.1401
112.0000,123.7497
114.0000,124.8902
114.2698,125.0000
116.0000,125.5075
118.0000,126.8644
118.2477,127.0000
120.0000,127.7393
121.8579,129.0000
122.0000,129.0989
124.0000,130.8709
124.1575,131.0000
126.0000,132.6927
126.3427,133.0000
128.0000,134.4998
128.5250,135.0000
130.0000,136.6093
130.3908,137.0000
132.0000,138.6976
132.2856,139.0000
134.0000,140.8968
134.0867,141.0000
135.6998,143.0000
136.0000,143.5246
136.8797,145.0000
137.7348,147.0000
138.0000,148.3035
138.1781,149.0000
