X_um,Z_um
73.2783,131.0000
73.8092,129.0000
75.0000,128.0252
77.0000,127.4110
77.3547,127.0000
79.0000,125.7837
81.0000,125.3324
81.3639,125.0000
83.0000,123.9488
85.0000,124.0659
87.0000,123.2109
89.0000,123.4744
91.0000,123.1958
92.6559,123.0000
93.0000,122.8478
95.0000,121.6486
97.0000,121.4653
99.0000,121.3706
101.0000,121.3706
103.0000,121.4653
105.0000,121.6486
107.0000,122.8478
107.3441,123.0000
109.0000,123.1958
111.0000,123.4744
113.0000,123.2109
115.0000,124.0659
117.0000,123.9488
118.6361,125.0000
119.0000,125.3324
121.0000,125.7837
122.6453,127.0000
123.0000,127.4110
125.0000,128.0252
126.1908,129.0000
126.7217,131.0000
127.0000,131.2364
128.9508,133.0000
129.0000,133.0463
131.0000,133.2921
132.6239,135.0000
132.7121,137.0000
133.0000,137.3608
135.0000,137.8512
135.9148,139.0000
136.5691,141.0000
137.0000,141.6844
137.8635,143.0000
138.2496,145.0000
138.4893,147.0000
138.3588,149.0000
61.6412,149.0000
61.5107,147.0000
61.7504,145.0000
62.1365,143.0000
63.0000,141.6844
63.4309,141.0000
64.0852,139.0000
65.0000,137.8512
67.0000,137.3608
67.2879,137.0000
67.3761,135.0000
69.0000,133.2921
71.0000,133.0463
71.0492,133.0000
73.0000,131.2364
