X_um,Z_um
77.0000,113.6681
77.7610,113.0000
77.7634,111.0000
78.1575,109.0000
79.0000,107.7504
79.8554,107.0000
79.9545,105.0000
81.0000,103.5355
81.6325,103.0000
81.9706,101.0000
83.0000,99.7306
84.0647,99.0000
85.0000,97.8089
85.6339,97.0000
87.0000,95.6108
87.6488,95.0000
89.0000,93.9243
89.7010,93.0000
91.0000,92.0107
93.0000,91.6615
93.7287,91.0000
95.0000,90.2423
97.0000,89.9386
99.0000,90.1984
101.0000,90.1984
103.0000,89.9385
105.0000,90.2422
106.2714,91.0000
107.0000,91.6615
109.0000,92.0107
110.2991,93.0000
111.0000,93.9241
112.3514,95.0000
113.0000,95.6106
114.3663,97.0000
115.0000,97.8086
115.9356,99.0000
117.0000,99.7304
118.0295,101.0000
118.3676,103.0000
119.0000,103.5354
120.0456,105.0000
120.1446,107.0000
121.0000,107.7504
121.8424,109.0000
122.2365,111.0000
122.2389,113.0000
123.0000,113.6682
123.8695,115.0000
124.2119,117.0000
124.5181,119.0000
124.5850,121.0000
124.0840,123.0000
124.3538,125.0000
124.6543,127.0000
125.0000,127.5454
125.9449,129.0000
126.2174,131.0000
126.4965,133.0000
127.0000,133.7920
127.7870,135.0000
128.0386,137.0000
129.6202,139.0000
129.0000,138.5574
129.4697,141.0000
129.5526,143.0000
129.5996,145.0000
129.6139,147.0000
129.6143,149.0000
70.3858,149.0000
70.3861,147.0000
70.4005,145.0000
70.4474,143.0000
70.5303,141.0000
71.0000,138.5576
70.3799,139.0000
71.9614,137.0000
72.2130,135.0000
73.0000,133.7920
73.5035,133.0000
73.7827,131.0000
74.0551,129.0000
75.0000,127.5454
75.3457,127.0000
75.6462,125.0000
75.9160,123.0000
75.4150,121.0000
75.4819,119.0000
75.7880,117.0000
76.1304,115.0000
