X_um,Z_um
59.8718,139.0000
59.1011,141.0000
58.7788,143.0000
58.7558,145.0000
59.0703,147.0000
59.9139,149.0000
60.0000,138.6297
61.7346,135.0000
60.4558,137.0000
62.0000,134.5338
62.7003,133.0000
64.0000,131.2156
65.9888,129.0000
64.1624,131.0000
66.0000,128.9884
68.0000,127.0110
68.0128,127.0000
70.0000,125.3611
70.5051,125.0000
72.0000,123.9179
73.7835,123.0000
74.0000,122.8645
76.0000,121.4653
77.4064,121.0000
78.0000,120.7354
80.0000,119.5064
81.8057,119.0000
82.0000,118.9297
84.0000,117.9831
86.0000,117.3609
87.9572,117.0000
88.0000,116.9897
90.0000,116.7884
92.0000,116.1702
94.0000,115.8288
96.0000,115.6005
98.0000,115.4713
100.0000,115.4295
102.0000,115.4713
104.0000,115.6005
106.0000,115.8288
108.0000,116.1702
110.0000,116.7884
112.0000,116.9897
112.0428,117.0000
114.0000,117.3609
116.0000,117.9831
118.0000,118.9297
118.1943,119.0000
120.0000,119.5064
122.0000,120.7354
122.5936,121.0000
124.0000,121.4653
126.0000,122.8645
126.2165,123.0000
128.0000,123.9179
129.4949,125.0000
130.0000,125.3611
131.9872,127.0000
132.0000,127.0110
134.0000,128.9884
134.0112,129.0000
135.8376,131.0000
136.0000,131.2156
137.2997,133.0000
138.0000,134.5338
138.2654,135.0000
139.5442,137.0000
140.0000,138.6298
140.1282,139.0000
140.8989,141.0000
141.2212,143.0000
141.2442,145.0000
140.9296,147.0000
140.0861,149.0000
